ck3_terrain,rank,material,ordinal,share,regional,rank_nonregional,share_nonregional_renormalised
taiga,22,gen_drylands_lowlands_02,96,0.3121,1,,
taiga,23,hills_01_rocks_small,31,0.3095,0,10,0.535
taiga,24,hills_01_rocks,29,0.2908,0,11,0.5027
taiga,,hills_01,28,0.1986,0,12,0.3433
taiga,,mountain_02_b,39,0.1856,0,13,0.3208
taiga,,debug,5,0.1834,0,14,0.317
taiga,,oasis,50,0.1238,0,15,0.2141
taiga,,coastline_cliff_grey,10,0.1238,0,16,0.214
taiga,,mud_wet_01,48,0.1221,0,17,0.211
taiga,,forest_leaf_01,25,0.0554,0,18,0.0958
taiga,,mountain_02,38,0.0475,0,19,0.0821
taiga,,mountain_02_snow,46,0.0446,0,20,0.0771
taiga,,plains_01_dry_mud,53,0.0254,0,21,0.044
taiga,,drylands_01_grassy,20,0.0236,0,22,0.0408
taiga,,plains_01,51,0.0135,0,23,0.0233
taiga,,coastline_cliff_desert,9,0.0106,0,24,0.0183
terraced_hills,1,farm_paddy_01,21,39.5387,0,1,55.4515
terraced_hills,2,gen_tropical_lowlands_03,68,7.9553,1,,
terraced_hills,3,gen_tropical_lowlands,66,6.527,1,,
terraced_hills,4,central_lowlands_02,63,5.956,1,,
terraced_hills,5,steppe_bushes,57,5.9448,0,2,8.3373
terraced_hills,6,steppe_rocks,59,5.0055,0,3,7.0201
terraced_hills,7,steppe_grass,58,3.9672,0,4,5.5638
terraced_hills,8,wetlands_02_mud,61,3.7466,0,5,5.2545
terraced_hills,9,central_lowlands_03,64,3.0805,1,,
terraced_hills,10,hills_01_rocks,29,2.7392,0,6,3.8417
terraced_hills,11,gen_tropical_base,65,1.9186,1,,
terraced_hills,12,gen_tropical_lowlands_02,67,1.5964,1,,
terraced_hills,13,wetlands_02,60,1.4112,0,7,1.9792
terraced_hills,14,forest_leaf_01,25,1.3436,0,8,1.8843
terraced_hills,15,forest_jungle_01,24,1.3104,0,9,1.8378
terraced_hills,16,mountain_02_c_snow,41,1.2413,0,10,1.7408
terraced_hills,17,forestfloor,27,1.2218,0,11,1.7136
terraced_hills,18,mountain_02_b,39,0.787,0,12,1.1037
terraced_hills,19,snow,56,0.7625,0,13,1.0694
terraced_hills,20,plains_01_rough,55,0.562,0,14,0.7882
terraced_hills,21,mountain_02_c,40,0.4995,0,15,0.7005
terraced_hills,22,plains_01_dry,52,0.3963,0,16,0.5558
terraced_hills,23,central_mountain,62,0.2999,1,,
terraced_hills,24,gen_steppe_mountain_transition,85,0.2335,1,,
terraced_hills,,oasis,50,0.2119,0,17,0.2971
terraced_hills,,farmland_01,22,0.1996,0,18,0.2799
terraced_hills,,plains_01_dry_mud,53,0.1631,0,19,0.2288
terraced_hills,,mountain_02_desert_c,45,0.069,0,20,0.0967
terraced_hills,,floodplains_01,23,0.0337,0,21,0.0472
terraced_hills,,mountain_02,38,0.0305,0,22,0.0427
terraced_hills,,plains_01,51,0.0275,0,23,0.0385
terraced_hills,,mountain_02_snow,46,0.0194,0,24,0.0272
wetlands,1,oasis,50,30.9318,0,1,44.259
wetlands,2,central_lowlands_03,64,7.835,1,,
wetlands,3,central_lowlands_02,63,6.6937,1,,
wetlands,4,steppe_bushes,57,6.5881,0,2,9.4266
wetlands,5,gen_tropical_base,65,5.5356,1,,
wetlands,6,steppe_grass,58,5.3398,0,3,7.6404
wetlands,7,hills_01,28,4.8076,0,4,6.8789
wetlands,8,mountain_02_c_snow,41,4.0167,0,5,5.7474
wetlands,9,forestfloor,27,3.6751,0,6,5.2585
wetlands,10,forest_jungle_01,24,2.8366,0,7,4.0587
wetlands,11,gen_tropical_mountain_transition,71,1.9504,1,,
wetlands,12,central_mountain,62,1.9064,1,,
wetlands,13,plains_01_rough,55,1.3143,0,8,1.8805
wetlands,14,mountain_02_desert_c,45,1.1848,0,9,1.6953
wetlands,15,mountain_02_d,42,1.1696,0,10,1.6735
wetlands,16,gen_desert_mountain_transition,93,1.1628,1,,
wetlands,17,plains_01_dry_mud,53,1.1411,0,11,1.6327
wetlands,18,gen_drylands_base,94,1.0389,1,,
wetlands,19,snow,56,1.0293,0,12,1.4728
wetlands,20,plains_01,51,0.926,0,13,1.3249
wetlands,21,forest_leaf_01,25,0.8485,0,14,1.214
wetlands,22,mountain_02_d_valleys,44,0.6712,0,15,0.9604
wetlands,23,gen_desert_base,86,0.5078,1,,
wetlands,24,gen_desert_lowlands,87,0.4854,1,,
wetlands,,mountain_03,47,0.4551,0,16,0.6512
wetlands,,wetlands_02_mud,61,0.4207,0,17,0.602
wetlands,,steppe_rocks,59,0.4166,0,18,0.596
wetlands,,forest_pine_01,26,0.264,0,19,0.3777
wetlands,,beach_02_mediterranean,7,0.2354,0,20,0.3368
wetlands,,mountain_02_d_snow,43,0.2085,0,21,0.2983
wetlands,,drylands_01_grassy,20,0.1945,0,22,0.2783
wetlands,,plains_01_noisy,54,0.1881,0,23,0.2691
wetlands,,coastline_cliff_grey,10,0.1813,0,24,0.2595
