ck2_key,ck3_key,status,confidence,note,decision_uses
check_variable,has_variable,approx,verified,"see triggers table: no check_variable key in CK3, needs restructuring",2
clr_global_flag,remove_global_variable,approx,assumed,CK3 replaced global flags with global variables,2
copy_title_history,,none,assumed,not found in the CK3 1.19 vocabulary sample,2
divide_variable,,none,assumed,not found in the CK3 1.19 vocabulary sample; use change_variable divide=,2
druid,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
employer,employer,exact,assumed,"unchanged (scope-link, kept for cross-listing)",2
event_target:enemy_attacker,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
expert_barbarian,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
expert_druid,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
expert_rogue,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
gender_equality_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
governor,governor,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),2
has_injury_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
has_quest,,none,assumed,CK3 quest system differs; no direct trigger found,2
has_secret_religion,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
has_wonder_upgrade,,none,verified,"CK2 wonders map to CK3 special buildings, a different construct (docs/mechanics_inventory.md)",2
has_wonder_upgrade_flag,,none,verified,see has_wonder_upgrade,2
holy_order,holy_order,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),2
host,host,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),2
is_allowed_to_loot,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
is_close_relative,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
is_matriarchal_religion_or_culture,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
is_member_of_any_alliance_society_trigger,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),2
is_nomadic,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
is_patriarchal_religion_or_culture,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
is_ruler,is_ruler,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),2
journeyman_barbarian,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
journeyman_druid,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
journeyman_rogue,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
legendary_barbarian,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
legendary_cleric,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
legendary_druid,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
legendary_rogue,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
legendary_sorcerer,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
long_character_event,,none,verified,"fires a CK2 event id; commented out until the events step exists (see character_event)",2
master_barbarian,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
master_cleric,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
master_druid,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
master_rogue,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
master_sorcerer,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
mercenary,mercenary,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),2
move_character,,none,assumed,not found in the CK3 1.19 vocabulary sample as a bare effect,2
muhjari,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
num_of_trade_post_diff,,none,verified,trade posts/routes do not exist in CK3 1.19 (docs/mechanics_inventory.md),2
pantheist_league,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
portrait,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
qisma,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
race_is_one_eyed,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
random_society_member,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),2
random_vassal,random_vassal,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),2
remove_guardian,,none,assumed,not found in the CK3 1.19 vocabulary sample,2
remove_symptoms_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
remove_tributary,,none,assumed,see make_tributary,2
renowned_barbarian,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
renowned_cleric,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
renowned_druid,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
renowned_rogue,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
renowned_sorcerer,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
rogue,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
set_dynasty_flag,set_variable,approx,assumed,"CK3 dynasties carry variables, not flags",2
set_flag,add_character_flag,approx,assumed,CK2 generic set_flag -> CK3 add_character_flag in character scope,2
set_offmap_flag,,none,verified,offmap powers do not exist in CK3 (docs/mechanics_inventory.md),2
set_society_progress,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),2
small_psi_stress,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
society_has_active_progress,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),2
spawn_fantastic_commander_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
spawn_great_commander_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
stacking,stacking,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),2
start_society_progress,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),2
ten_thousand_gods,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
to,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
trained_barbarian,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
trained_druid,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
trained_rogue,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),2
unsafe_destroy_artifact,destroy_artifact,approx,assumed,CK3 has one destroy_artifact effect,2
z_monk,,none,assumed,"Faerûn custom scripted_trigger (common/scripted_triggers/faerun_class_triggers.txt), not core CK2/CK3 vocabulary - porting Faerûn's own scripted_effects/scripted_triggers is out of this lane's scope",2
abdicate_to,,none,assumed,not found in the CK3 1.19 vocabulary sample as a bare effect,1
abishai,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
aboleth,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
add_claim,add_pressed_claim,approx,verified,CK2 add_claim (weak claim) has no exact CK3 counterpart; nearest is add_pressed_claim (strong claim),1
add_holding_slot,,none,assumed,CK3 has no dynamic holding-slot effect,1
add_offmap_currency,,none,verified,offmap powers do not exist in CK3 (docs/mechanics_inventory.md),1
add_pressed_claim,add_pressed_claim,exact,verified,unchanged,1
add_rival,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
add_society_currency_large_effect,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
add_society_currency_major_effect,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
add_society_currency_massive_effect,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
add_warrior_lodge_leader_trait_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
adjective,adjective,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
always,always,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
any_army,any_army,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
any_friend,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
any_playable_ruler,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
any_realm_lord,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
any_realm_wonder_upgrade,,none,verified,see has_wonder_upgrade,1
any_sibling,any_sibling,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
any_spouse,any_spouse,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
any_title,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
any_unique_dynasty_vassal,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
any_unit_leader,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
arctic_dwarf,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
at_location,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
baatezu,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
bard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
cambion,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
can_be_given_away,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
celestial_summon_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
chessentan,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
cleric,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
clr_offmap_flag,,none,verified,offmap powers do not exist in CK3 (docs/mechanics_inventory.md),1
clr_quest,,none,assumed,CK3 quest system differs; no direct effect found,1
combat,combat,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
convert_to_secret_religion,,none,verified,secret religions do not exist in CK3 (docs/mechanics_inventory.md),1
copy_traits_of_PREV,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
destroy_wonder_upgrade,,none,verified,see has_wonder_upgrade,1
detract_grace_major_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
detract_grace_massive_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
dragon_breath_on_PREV_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
dragonspawn,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
enemy,enemy,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
event_target:combatant_2,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
event_target:enemy,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
event_target:the_wonder,,none,verified,"CK2 wonders map to CK3 special buildings, not this trigger/effect surface (docs/mechanics_inventory.md)",1
evilcat_remove_patrons,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
expert_bard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
expert_cleric,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
expert_sorcerer,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
fertility,fertility,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
fire_giant,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
firenewt,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
flip_secret_religious_community_provinces,,none,verified,secret religious societies/cults do not exist in CK3 (docs/mechanics_inventory.md),1
genetic_father,father,approx,assumed,"CK3 has one father scope link, no separate genetic/social split as an effect target",1
genetic_mother,mother,approx,assumed,CK3 has one mother scope link,1
ghaunadan,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
give_this_warrior_lodge_religion_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
grant_title_no_opinion,change_title_holder,approx,assumed,"same effect, CK3 has no separate opinion-free variant found",1
has_building,has_building,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
has_discardable_gendered_nickname,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_fair_trait_non_congenital_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_guardian,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
has_medium_disability_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_mental_disorder_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_minor_disability_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_negative_congenital_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_prevs_secret_religion_truly_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_severe_disability_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_sympathy_for_true_religion_of_prev_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
has_title_flag,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
health,health,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
horse_archers,horse_archers,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
in_faction,,none,assumed,not found in the CK3 1.19 vocabulary sample as a bare trigger,1
is_abroad,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_building_wonder_upgrade,,none,verified,see has_wonder_upgrade,1
is_capital,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_evil_religion,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_fair_congenital_trait_upgradeable_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_fair_non_congenital_trait_upgradeable_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_incapable,is_incapable,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
is_maimed_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_married,is_married,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
is_member_of_any_assassin_guild_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_nomadic_tribal_culture,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_playable,is_playable,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),1
is_reformed_religion,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_republic,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_smart_non_congenital_trait_upgradeable_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_society_grandmaster,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
is_strong_non_congenital_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_strong_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
is_weak_trigger,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
job_chancellor,,none,verified,"CK2 council jobs are CK3 court positions, a different construct (docs/mechanics_inventory.md)",1
join_prev_knight_order_society_effect,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
join_prev_warrior_lodge_society_effect,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
journeyman_bard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
journeyman_cleric,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
journeyman_sorcerer,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
knights,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
kobold,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
kuo_toa,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
legendary_bard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
lifestyle_traits,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
lizardfolk,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
mages_troops,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
make_tributary,,none,assumed,CK3 tributaries use a different (situation-based) mechanic; no direct effect found,1
malenti,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
marrashi,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
master_bard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
med_psi_stress,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
move,,none,assumed,"context-dependent field name (army movement), not a single vocabulary key",1
num_of_government_vassals,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
num_of_max_settlements,,none,verified,CK3 has no settlement-count cap mechanic,1
offmap,,none,verified,offmap powers do not exist in CK3 (docs/mechanics_inventory.md),1
offmap_has_like,,none,verified,offmap powers do not exist in CK3 (docs/mechanics_inventory.md),1
pay_back_assassins_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
percentage,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
persistent_event_target:minion_culture_1_persist,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
persistent_event_target:minion_culture_2_persist,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
persistent_event_target:minion_culture_3_persist,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
pick_martial_class_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
plot_target_char,,none,verified,"CK2 plots have no CK3 counterpart (schemes are structurally different, docs/mechanics_inventory.md)",1
province_event,,none,assumed,CK2 province events have no direct CK3 scope-typed equivalent; a decision cannot fire one from character scope without a scope change,1
race,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
random_courtier_or_vassal,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
random_demesne_province,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
random_demesne_title,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
random_landed_title,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
realm_wonder_or_upgrade_has_flag_inspires_learning_trigger,,none,verified,"CK2 wonders map to CK3 special buildings, not this trigger/effect surface (docs/mechanics_inventory.md)",1
recalc_succession,,none,assumed,not found in the CK3 1.19 vocabulary sample; CK3 recalculates automatically,1
remove_assassins_debt_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
remove_friend,remove_relation_friend,approx,assumed,CK3 relations are typed via set/remove_relation_<type>,1
remove_lifestyle_trait_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
remove_special_character_title,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
remove_spouse,divorce,approx,assumed,CK2 remove_spouse effect -> CK3 divorce (CLAUDE.md invariant on add/remove_spouse being history keys),1
remove_title,change_title_holder,approx,assumed,"CK2 generic remove_title -> CK3 change_title_holder (to no one) / destroy_title depending on target, needs a human check",1
remove_treatment_modifiers_effect,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
renowned_bard,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
repeat_event,,none,assumed,not found in the CK3 1.19 vocabulary sample; use an on_action pulse,1
reverse_religion,,none,assumed,not found in the CK3 1.19 vocabulary sample,1
rightful_religious_head_scope,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
sahuagin,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
same_liege,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
scaled_prestige,,none,assumed,not found as a bare effect; use add_prestige with a scripted value,1
secret_religion_scope,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),1
secret_religious_society_abyssal_cult,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_adama,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_ancestral_cult,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_animist,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_arcane,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_asathalfinare,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_bahamut,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_beholder_pantheon,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_blue_flame,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_calishite_faith,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_chessic,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_chung_tao,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_church_of_cyric,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_dead_three,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_deities_of_fury,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_draconic_pantheon,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_dwarven_pantheon,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_earthmother,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_earthmother_reformed,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_eilistraee,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_elven_pantheon,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_enlil,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_entropy,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_faceless_god,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_faithless,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_geomancy,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_ghaunadaur,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_giant_pantheon,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_gnome_pantheon,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_goblin_pantheon,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_goblin_reformed,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_halfling_pantheon,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_illithid_pantheon,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_infernal,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_inventive,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_jaziri,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_jaziri_reformed,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_joyful,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_kahin,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_karontor,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_kiaransalee,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_kossuth,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_laduguer,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_lapal_faith,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_lolth_cult,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_loviatar,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_martial_faith,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_mercantile,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_muhjari,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_mulhorandi_faith,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_natural,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_nine_travelers,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_nogari,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_nogari_reformed,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_orc_pantheon,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_orc_reformed,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_padhran,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_pantheist_league,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_primordial,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_qisma,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_qukoku,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_rasallesian,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_scale_cult,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_shadow_gods,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_solar,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_sylvan,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_ten_thousand_gods,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_thasmudyanic,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_the_path,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_tiamat,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_toteteohuan,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_triadic,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_tuigan_shamanism,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_ubtao_worship,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_ulutiuan,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_ulutiuan_reformed,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_untheric_faith,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_urdlen,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_uthgardt_faith,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_uthgardt_reformed,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_vaprak,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_vhaeraun,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_yuir,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
secret_religious_society_yuir_reformed,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),1
