ck2_nickname,ck3_nickname,status,uses_in_faerun,note
nick_the_lame,nick_the_lame,exact,1,same id in both games
nick_the_last,,comment,1,Faerun-invented nickname
nick_the_last_prince,,comment,1,Faerun-invented nickname
nick_the_lazy,nick_the_lazy,exact,1,same id in both games
nick_the_learned,,comment,1,Faerun-invented nickname
nick_the_lesser,,comment,1,Faerun-invented nickname
nick_the_lion,nick_the_lion,exact,1,same id in both games
nick_the_lion_of_semphar,,comment,1,Faerun-invented nickname
nick_the_lion_of_yesterday,,comment,1,Faerun-invented nickname
nick_the_little_spider,,comment,1,Faerun-invented nickname
nick_the_lonely_harpist,,comment,1,Faerun-invented nickname
nick_the_looney,,comment,1,Faerun-invented nickname
nick_the_lord_below,,comment,1,Faerun-invented nickname
nick_the_lord_of_murder,,comment,1,Faerun-invented nickname
nick_the_lost,,comment,3,Faerun-invented nickname
nick_the_lost_apprentice,,comment,1,Faerun-invented nickname
nick_the_luckless,,comment,1,Faerun-invented nickname
nick_the_luckless_sire,,comment,1,Faerun-invented nickname
nick_the_mad,nick_the_mad,exact,6,same id in both games
nick_the_mad_mage,,comment,1,Faerun-invented nickname
nick_the_mad_padishah,,comment,1,Faerun-invented nickname
nick_the_maestro,,comment,1,Faerun-invented nickname
nick_the_mage,,comment,1,Faerun-invented nickname
nick_the_magician,,comment,1,Faerun-invented nickname
nick_the_magnificent,nick_the_magnificent,exact,4,same id in both games
nick_the_magus,,comment,1,Faerun-invented nickname
nick_the_maiden_king,,comment,1,Faerun-invented nickname
nick_the_maimed_virulence,,comment,1,Faerun-invented nickname
nick_the_maker,,comment,1,Faerun-invented nickname
nick_the_mantled_king,,comment,1,Faerun-invented nickname
nick_the_many_taloned,,comment,1,Faerun-invented nickname
nick_the_many_tusked,,comment,1,Faerun-invented nickname
nick_the_manyhanded,,comment,1,Faerun-invented nickname
nick_the_marching_king,,comment,1,Faerun-invented nickname
nick_the_martinet,,comment,1,Faerun-invented nickname
nick_the_masked,,comment,1,Faerun-invented nickname
nick_the_masked_lady,,comment,1,Faerun-invented nickname
nick_the_master_of_gems,,comment,1,Faerun-invented nickname
nick_the_merchant_prince,,comment,1,Faerun-invented nickname
nick_the_merciless,nick_the_merciless,exact,2,same id in both games
nick_the_metal_mage,,comment,1,Faerun-invented nickname
nick_the_mighty,,comment,4,Faerun-invented nickname
nick_the_misshapen,,comment,1,Faerun-invented nickname
nick_the_mithril_princess,,comment,1,Faerun-invented nickname
nick_the_monarch_reborn,,comment,1,Faerun-invented nickname
nick_the_moneylender,,comment,1,Faerun-invented nickname
nick_the_mongrel,,comment,1,Faerun-invented nickname
nick_the_moon_dancer,,comment,1,Faerun-invented nickname
nick_the_moons_champion,,comment,1,Faerun-invented nickname
nick_the_mother_of_prosperity,,comment,1,Faerun-invented nickname
nick_the_mottled,,comment,1,Faerun-invented nickname
nick_the_mound_king,,comment,1,Faerun-invented nickname
nick_the_mountain,,comment,1,Faerun-invented nickname
nick_the_mourning,,comment,1,Faerun-invented nickname
nick_the_mourning_king,,comment,1,Faerun-invented nickname
nick_the_mulan,,comment,1,Faerun-invented nickname
nick_the_nameless_bard,,comment,1,Faerun-invented nickname
nick_the_nameless_chosen,,comment,1,Faerun-invented nickname
nick_the_necroqysar,,comment,1,Faerun-invented nickname
nick_the_neverdying,,comment,1,Faerun-invented nickname
nick_the_night_king,,comment,1,Faerun-invented nickname
nick_the_ninefold_dragon,,comment,1,Faerun-invented nickname
nick_the_occultacle,,comment,1,Faerun-invented nickname
nick_the_octopus,,comment,1,Faerun-invented nickname
nick_the_ogre_king,,comment,1,Faerun-invented nickname
nick_the_old,nick_the_old,exact,16,same id in both games
nick_the_old_dowager,,comment,1,Faerun-invented nickname
nick_the_old_mage,,comment,1,Faerun-invented nickname
nick_the_old_one,,comment,2,Faerun-invented nickname
nick_the_old_witch,,comment,1,Faerun-invented nickname
nick_the_old_wolf,,comment,1,Faerun-invented nickname
nick_the_opener,,comment,1,Faerun-invented nickname
nick_the_opportunist,,comment,1,Faerun-invented nickname
nick_the_outlaw,,comment,2,Faerun-invented nickname
nick_the_pale,,comment,1,Faerun-invented nickname
nick_the_pale_knight,,comment,1,Faerun-invented nickname
nick_the_parricide,,comment,1,Faerun-invented nickname
nick_the_pathfinder,,comment,1,Faerun-invented nickname
nick_the_patrician,,comment,1,Faerun-invented nickname
nick_the_penitent,,comment,1,Faerun-invented nickname
nick_the_pious,nick_the_pious,exact,3,same id in both games
nick_the_pirate_queen,nick_the_pirate_queen,exact,1,same id in both games
nick_the_poxed,,comment,1,Faerun-invented nickname
nick_the_pretender,,comment,1,Faerun-invented nickname
nick_the_priest,,comment,2,Faerun-invented nickname
nick_the_prince_of_pleasure,,comment,1,Faerun-invented nickname
nick_the_prince_of_swords,,comment,1,Faerun-invented nickname
nick_the_princes_hand,,comment,1,Faerun-invented nickname
nick_the_princess_of_hillsfar,,comment,1,Faerun-invented nickname
nick_the_princess_terrible,,comment,1,Faerun-invented nickname
nick_the_prodigy,nick_the_prodigy,exact,2,same id in both games
nick_the_prophet,nick_the_prophet,exact,1,same id in both games
nick_the_proud,nick_the_proud,exact,1,same id in both games
nick_the_proud_queen,,comment,1,Faerun-invented nickname
nick_the_punisher,,comment,1,Faerun-invented nickname
nick_the_puppet_king,,comment,1,Faerun-invented nickname
nick_the_purple,,comment,1,Faerun-invented nickname
nick_the_purple_dragon,,comment,1,Faerun-invented nickname
nick_the_quick,nick_the_quick,exact,2,same id in both games
nick_the_quiet,,comment,1,Faerun-invented nickname
nick_the_raider,,comment,1,Faerun-invented nickname
nick_the_ranger,,comment,1,Faerun-invented nickname
nick_the_rapacious_raider,,comment,1,Faerun-invented nickname
nick_the_raven,,comment,2,Faerun-invented nickname
nick_the_ravenmaster,,comment,1,Faerun-invented nickname
nick_the_reaper,,comment,2,Faerun-invented nickname
nick_the_reaver,,comment,3,Faerun-invented nickname
nick_the_rebel_chosen,,comment,1,Faerun-invented nickname
nick_the_rebel_prince,,comment,1,Faerun-invented nickname
nick_the_red,nick_the_red,exact,10,same id in both games
nick_the_red_death,,comment,1,Faerun-invented nickname
nick_the_red_man,,comment,1,Faerun-invented nickname
nick_the_red_rage_of_mintarn,,comment,1,Faerun-invented nickname
nick_the_red_terror_of_mintarn,,comment,1,Faerun-invented nickname
nick_the_reluctant,,comment,1,Faerun-invented nickname
nick_the_restorer,nick_the_restorer,exact,1,same id in both games
nick_the_returned,,comment,2,Faerun-invented nickname
nick_the_riddling_dragon,,comment,1,Faerun-invented nickname
nick_the_righteous,nick_the_righteous,exact,1,same id in both games
nick_the_ripper,,comment,1,Faerun-invented nickname
nick_the_roadwarden,,comment,1,Faerun-invented nickname
nick_the_roarer,,comment,1,Faerun-invented nickname
nick_the_roaring_mage,,comment,1,Faerun-invented nickname
nick_the_rock,,comment,1,Faerun-invented nickname
nick_the_rogue,,comment,1,Faerun-invented nickname
nick_the_rose,,comment,2,Faerun-invented nickname
nick_the_rose_of_sarifal,,comment,1,Faerun-invented nickname
nick_the_royal_jester,,comment,1,Faerun-invented nickname
nick_the_ruling_magister,,comment,1,Faerun-invented nickname
nick_the_rune_count,,comment,1,Faerun-invented nickname
nick_the_sad_queen,,comment,1,Faerun-invented nickname
nick_the_sage_king,,comment,1,Faerun-invented nickname
nick_the_sage_of_suzail,,comment,1,Faerun-invented nickname
nick_the_sailor,,comment,1,Faerun-invented nickname
nick_the_saint,nick_the_saint,exact,1,same id in both games
nick_the_sarbreenar_wyrm,,comment,1,Faerun-invented nickname
nick_the_savage,nick_the_savage,exact,2,same id in both games
nick_the_scaled,,comment,1,Faerun-invented nickname
nick_the_scaleslain,,comment,1,Faerun-invented nickname
nick_the_scarlet,,comment,1,Faerun-invented nickname
nick_the_scarlet_scourge,,comment,1,Faerun-invented nickname
nick_the_scarred_advisor,,comment,1,Faerun-invented nickname
nick_the_sceptered,,comment,1,Faerun-invented nickname
nick_the_sceptered_one,,comment,1,Faerun-invented nickname
nick_the_scholar,nick_the_scholar,exact,1,same id in both games
nick_the_scourge,,comment,1,Faerun-invented nickname
nick_the_sea_king,nick_the_sea_king,exact,1,same id in both games
nick_the_sea_queen,,comment,1,Faerun-invented nickname
nick_the_sea_witch,,comment,1,Faerun-invented nickname
nick_the_secret_maker,,comment,1,Faerun-invented nickname
nick_the_seer,nick_the_seer,exact,3,same id in both games
nick_the_selfless,,comment,1,Faerun-invented nickname
nick_the_senile,,comment,1,Faerun-invented nickname
nick_the_sentinel,,comment,1,Faerun-invented nickname
nick_the_seraph_of_lies,,comment,1,Faerun-invented nickname
nick_the_serene,,comment,1,Faerun-invented nickname
nick_the_serpent,,comment,2,Faerun-invented nickname
nick_the_seven_years_lady,,comment,1,Faerun-invented nickname
nick_the_shade_king,,comment,1,Faerun-invented nickname
nick_the_shadow_king,,comment,1,Faerun-invented nickname
nick_the_shadowking,,comment,1,Faerun-invented nickname
nick_the_shadowsil,,comment,1,Faerun-invented nickname
nick_the_shark,,comment,1,Faerun-invented nickname
nick_the_shark_of_suq_bay,,comment,1,Faerun-invented nickname
nick_the_she_wolf_of_manshaka,,comment,1,Faerun-invented nickname
nick_the_shining,,comment,3,Faerun-invented nickname
nick_the_shining_knight,,comment,1,Faerun-invented nickname
nick_the_short,nick_the_short,exact,1,same id in both games
nick_the_sibilant_death,,comment,1,Faerun-invented nickname
nick_the_sibilant_shade,,comment,1,Faerun-invented nickname
nick_the_silent,nick_the_silent,exact,2,same id in both games
nick_the_silent_chosen,,comment,1,Faerun-invented nickname
nick_the_silent_lady,,comment,1,Faerun-invented nickname
nick_the_silent_shadow,,comment,1,Faerun-invented nickname
nick_the_silken_shadow,,comment,1,Faerun-invented nickname
nick_the_skeleton,,comment,1,Faerun-invented nickname
nick_the_skybinder,,comment,1,Faerun-invented nickname
nick_the_sleeping_king,nick_the_sleeping_king,exact,1,same id in both games
nick_the_slumbering_king,,comment,1,Faerun-invented nickname
nick_the_sly,nick_the_sly,exact,2,same id in both games
nick_the_small,,comment,1,Faerun-invented nickname
nick_the_smart,,comment,1,Faerun-invented nickname
nick_the_smiling_cat,,comment,1,Faerun-invented nickname
nick_the_smiling_death,,comment,1,Faerun-invented nickname
nick_the_snake,,comment,1,Faerun-invented nickname
nick_the_sojourner,,comment,1,Faerun-invented nickname
nick_the_spellbinder,,comment,1,Faerun-invented nickname
nick_the_spider_that_waits,,comment,1,Faerun-invented nickname
nick_the_stag_king,,comment,2,Faerun-invented nickname
nick_the_steel_princess,,comment,1,Faerun-invented nickname
nick_the_steel_regent,,comment,1,Faerun-invented nickname
nick_the_storm_maiden,,comment,1,Faerun-invented nickname
nick_the_storm_wind,,comment,1,Faerun-invented nickname
nick_the_stout,nick_the_stout,exact,1,same id in both games
nick_the_strong,nick_the_strong,exact,5,same id in both games
nick_the_sun_dragon,,comment,1,Faerun-invented nickname
nick_the_surge_channeler,,comment,1,Faerun-invented nickname
nick_the_suzerain_of_anauroch,,comment,1,Faerun-invented nickname
nick_the_swift,,comment,1,Faerun-invented nickname
nick_the_sword_of_the_moonmaiden,,comment,1,Faerun-invented nickname
nick_the_tail,,comment,1,Faerun-invented nickname
nick_the_tall,nick_the_tall,exact,6,same id in both games
nick_the_teacher,,comment,1,Faerun-invented nickname
nick_the_tempestar,,comment,1,Faerun-invented nickname
nick_the_terraseer,,comment,1,Faerun-invented nickname
nick_the_terrible,nick_the_terrible,exact,1,same id in both games
nick_the_terror_of_velen,,comment,1,Faerun-invented nickname
nick_the_terror_tenebrous,,comment,1,Faerun-invented nickname
nick_the_thickskull,,comment,1,Faerun-invented nickname
nick_the_thief,,comment,1,Faerun-invented nickname
nick_the_thief_king,,comment,1,Faerun-invented nickname
nick_the_thirteen,,comment,1,Faerun-invented nickname
nick_the_thoughtful,,comment,1,Faerun-invented nickname
nick_the_thronelord,,comment,1,Faerun-invented nickname
nick_the_throneseeker,,comment,1,Faerun-invented nickname
nick_the_tireless,,comment,1,Faerun-invented nickname
nick_the_tormented,,comment,1,Faerun-invented nickname
nick_the_tortured_king,,comment,1,Faerun-invented nickname
nick_the_torturer,,comment,1,Faerun-invented nickname
nick_the_touched,,comment,1,Faerun-invented nickname
nick_the_towering,,comment,1,Faerun-invented nickname
nick_the_towerlord,,comment,1,Faerun-invented nickname
nick_the_traitor_lord,,comment,1,Faerun-invented nickname
nick_the_tree_ghost,,comment,1,Faerun-invented nickname
nick_the_tricoil,,comment,1,Faerun-invented nickname
nick_the_true,,comment,2,Faerun-invented nickname
nick_the_tusk,,comment,1,Faerun-invented nickname
nick_the_tusk_bearded,,comment,1,Faerun-invented nickname
nick_the_twinblade,,comment,1,Faerun-invented nickname
nick_the_twisted,,comment,2,Faerun-invented nickname
nick_the_tyrant,nick_the_tyrant,exact,2,same id in both games
nick_the_unclear,,comment,1,Faerun-invented nickname
nick_the_undying,nick_the_undying,exact,3,same id in both games
nick_the_undying_one,,comment,1,Faerun-invented nickname
nick_the_unfortunate,nick_the_unfortunate,exact,1,same id in both games
nick_the_unicorn_prince,,comment,1,Faerun-invented nickname
nick_the_unifier,,comment,1,Faerun-invented nickname
nick_the_usurper,nick_the_usurper,exact,3,same id in both games
nick_the_utter_annihilation,,comment,1,Faerun-invented nickname
nick_the_valiant,nick_the_valiant,exact,1,same id in both games
nick_the_vast,,comment,1,Faerun-invented nickname
nick_the_vaunted,,comment,1,Faerun-invented nickname
nick_the_venerable,nick_the_venerable,exact,1,same id in both games
nick_the_venerable_one,,comment,1,Faerun-invented nickname
nick_the_vengeful,,comment,1,Faerun-invented nickname
nick_the_venomous,,comment,1,Faerun-invented nickname
nick_the_verdant_cloud,,comment,1,Faerun-invented nickname
nick_the_visionary,,comment,1,Faerun-invented nickname
nick_the_voice_of_telos,,comment,1,Faerun-invented nickname
nick_the_vulture,,comment,1,Faerun-invented nickname
nick_the_walking_winter,,comment,1,Faerun-invented nickname
nick_the_wanderer,,comment,3,Faerun-invented nickname
nick_the_war_king,,comment,1,Faerun-invented nickname
nick_the_war_queen,,comment,1,Faerun-invented nickname
nick_the_warrior_king,,comment,1,Faerun-invented nickname
nick_the_watcher,,comment,1,Faerun-invented nickname
nick_the_watchful,,comment,1,Faerun-invented nickname
nick_the_water_king,,comment,1,Faerun-invented nickname
nick_the_wavelord,,comment,1,Faerun-invented nickname
nick_the_weasel,,comment,1,Faerun-invented nickname
nick_the_weavepasha,,comment,1,Faerun-invented nickname
nick_the_weird,,comment,1,Faerun-invented nickname
nick_the_well_preserved,,comment,1,Faerun-invented nickname
nick_the_whisperer,nick_the_whisperer,exact,1,same id in both games
nick_the_white,nick_the_white,exact,1,same id in both games
nick_the_wicked,nick_the_wicked,exact,1,same id in both games
nick_the_winter_sphinx,,comment,1,Faerun-invented nickname
nick_the_wise,nick_the_wise,exact,7,same id in both games
nick_the_wise_bear,,comment,1,Faerun-invented nickname
nick_the_wise_mentor,,comment,1,Faerun-invented nickname
nick_the_witch_duke,,comment,1,Faerun-invented nickname
nick_the_witch_queen,,comment,1,Faerun-invented nickname
nick_the_witch_widow,,comment,1,Faerun-invented nickname
nick_the_wizard_king,,comment,1,Faerun-invented nickname
nick_the_wizard_of_green_fire,,comment,1,Faerun-invented nickname
nick_the_wolf_king,,comment,1,Faerun-invented nickname
nick_the_woqd,,comment,1,Faerun-invented nickname
nick_the_world_walker,,comment,1,Faerun-invented nickname
nick_the_wretched,,comment,1,Faerun-invented nickname
nick_the_wyrm_master,,comment,1,Faerun-invented nickname
nick_the_wyrm_of_the_peaks,,comment,1,Faerun-invented nickname
nick_the_wyrm_who_watches,,comment,1,Faerun-invented nickname
nick_the_yorthae,,comment,1,Faerun-invented nickname
nick_the_young,nick_the_young,exact,1,same id in both games
nick_the_young_king,,comment,1,Faerun-invented nickname
nick_the_young_masked_lady,,comment,1,Faerun-invented nickname
nick_the_younger,nick_the_younger,exact,19,same id in both games
nick_thoss_fyurnen,,comment,1,Faerun-invented nickname
nick_three_eyes,,comment,1,Faerun-invented nickname
nick_threefist,,comment,1,Faerun-invented nickname
nick_thundercaller,,comment,1,Faerun-invented nickname
nick_thunderspell,,comment,1,Faerun-invented nickname
nick_tmom,,comment,1,Faerun-invented nickname
nick_trollscourge,,comment,1,Faerun-invented nickname
nick_truesword,,comment,1,Faerun-invented nickname
nick_twice_born,,comment,1,Faerun-invented nickname
nick_twilight_knight,,comment,1,Faerun-invented nickname
nick_twinblade,,comment,1,Faerun-invented nickname
nick_two_axes,,comment,1,Faerun-invented nickname
nick_two_blades,,comment,1,Faerun-invented nickname
nick_twoteeth,,comment,1,Faerun-invented nickname
nick_ur_khan,,comment,1,Faerun-invented nickname
nick_velvet,,comment,1,Faerun-invented nickname
nick_vendem,,comment,1,Faerun-invented nickname
nick_venom,,comment,2,Faerun-invented nickname
nick_voice_of_hargut,,comment,1,Faerun-invented nickname
nick_warhammer,,comment,1,Faerun-invented nickname
nick_whisperer_in_shadows,,comment,1,Faerun-invented nickname
nick_white_agate,,comment,1,Faerun-invented nickname
nick_who_knew_not_satiety,,comment,1,Faerun-invented nickname
nick_wine_lord,,comment,1,Faerun-invented nickname
nick_witch_of_shadowdale,,comment,1,Faerun-invented nickname
nick_wizardkiller,,comment,1,Faerun-invented nickname
nick_wo_mei_returned,,comment,1,Faerun-invented nickname
nick_wolf_knight,,comment,1,Faerun-invented nickname
nick_wyrmslayer,,comment,1,Faerun-invented nickname
nick_wyvernmaster,,comment,1,Faerun-invented nickname
nick_xvim,,comment,1,Faerun-invented nickname
nick_zaribel,,comment,1,Faerun-invented nickname
nick_zibrija,,comment,1,Faerun-invented nickname
