y,x,index_rgba,intensity_rgba,material_ids,mask_values_at_those_ids,top4_by_mask,in_top4
3334,5752,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1732,8625,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
3727,4268,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
520,6412,26/94/92/91,202/28/13/12,forest_pine_01/gen_drylands_base/gen_desert_mountain/gen_desert_hills,181/0/0/0,forest_pine_01/gen_northern_lowlands_03/gen_northern_lowlands/gen_northern_base,1
704,4445,26/93/94/91,174/50/25/6,forest_pine_01/gen_desert_mountain_transition/gen_drylands_base/gen_desert_hills,169/0/0/0,forest_pine_01/gen_northern_lowlands_02/gen_northern_lowlands_03/gen_northern_base,1
1660,1712,68/63/65/64,179/44/18/14,gen_tropical_lowlands_03/central_lowlands_02/gen_tropical_base/central_lowlands_03,0/0/0/0,gen_central_mountain_transition/gen_central_lowlands/gen_central_lowlands_03/gen_central_lowlands_02,0
3284,7648,6/7/5/255,141/112/2/0,beach_02/beach_02_mediterranean/debug/?,141/112/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
2237,6326,90/83/88/81,110/60/47/38,gen_desert_lowlands_04/gen_steppe_hills/gen_desert_lowlands_02/gen_steppe_lowlands_02,0/0/0/0,gen_drylands_mountain_transition/gen_desert_mountain_transition/gen_drylands_hills/gen_desert_hills,0
3905,5740,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
4338,5618,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1848,2212,103/101/67/46,102/91/62/0,gen_northern_lowlands_02/gen_northern_base/gen_tropical_lowlands_02/mountain_02_snow,0/0/0/0,gen_mediterranean_mountain/gen_mediterranean_lowlands_03/gen_central_mountain/gen_central_lowlands_03,0
1953,3486,28/64/66/29,255/0/0/0,hills_01/central_lowlands_03/gen_tropical_lowlands/hills_01_rocks,33/0/0/21,hills_01/gen_central_hills/gen_drylands_hills/gen_central_lowlands_02,1
2549,8853,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
2974,6930,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
2209,8518,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2774,2933,15/76/78/5,112/89/29/25,desert_rocky/gen_central_hills/gen_central_mountain_transition/debug,85/0/0/19,desert_rocky/gen_desert_base/gen_desert_lowlands_02/debug,2
4416,6383,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3382,6760,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
1462,1128,45/25/66/64,160/49/30/16,mountain_02_desert_c/forest_leaf_01/gen_tropical_lowlands/central_lowlands_03,0/46/0/0,plains_01_rough/forest_leaf_01/gen_central_hills/gen_central_lowlands_02,1
1959,5004,18/78/76/86,125/70/60/0,drylands_01/gen_central_mountain_transition/gen_central_hills/gen_desert_base,63/0/0/30,drylands_01/gen_desert_lowlands_02/gen_desert_base/gen_drylands_lowlands_02,2
1852,5834,90/83/88/81,106/62/50/37,gen_desert_lowlands_04/gen_steppe_hills/gen_desert_lowlands_02/gen_steppe_lowlands_02,19/0/17/0,gen_drylands_mountain_transition/gen_desert_mountain_transition/gen_drylands_hills/gen_desert_hills,0
692,121,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
4,14,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3649,14,6/5/12/255,247/6/2/0,beach_02/debug/desert_02/?,247/6/2/-1,beach_02/debug/desert_02/drought,3
1936,2638,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1620,4737,6/81/30/88,95/72/50/38,beach_02/gen_steppe_lowlands_02/hills_01_rocks_medi/gen_desert_lowlands_02,63/0/33/24,beach_02/gen_desert_hills/hills_01_rocks_medi/gen_drylands_hills,2
2909,4009,6/12/5/80,228/21/5/1,beach_02/desert_02/debug/gen_steppe_lowlands,228/21/5/0,beach_02/desert_02/debug/gen_desert_lowlands_04,3
2599,3584,44/20/85/24,133/78/44/0,mountain_02_d_valleys/drylands_01_grassy/gen_steppe_mountain_transition/forest_jungle_01,0/60/0/12,plains_01_noisy/drylands_01_grassy/gen_drylands_lowlands/medi_dry_mud,1
4308,4250,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2835,215,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
4256,7266,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
2666,4939,33/86/87/85,82/58/58/57,medi_dry_mud/gen_desert_base/gen_desert_lowlands/gen_steppe_mountain_transition,61/0/0/0,medi_dry_mud/gen_drylands_lowlands_03/gen_drylands_lowlands_02/gen_drylands_lowlands,1
1508,5149,86/87/64/85,112/90/53/0,gen_desert_base/gen_desert_lowlands/central_lowlands_03/gen_steppe_mountain_transition,2/0/0/0,gen_drylands_lowlands_02/gen_drylands_lowlands_03/gen_central_lowlands_02/gen_central_lowlands_03,0
1487,1168,45/29/64/62,135/102/18/0,mountain_02_desert_c/hills_01_rocks/central_lowlands_03/central_mountain,0/90/0/0,plains_01_rough/hills_01_rocks/gen_central_lowlands_02/gen_central_base,1
4556,5968,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2700,5537,24/59/66/64,110/74/71/0,forest_jungle_01/steppe_rocks/gen_tropical_lowlands/central_lowlands_03,59/0/1/0,forest_jungle_01/gen_tropical_hills/gen_central_hills/gen_central_lowlands_03,1
864,4145,92/26/93/29,215/40/0/0,gen_desert_mountain/forest_pine_01/gen_desert_mountain_transition/hills_01_rocks,0/34/0/5,gen_northern_lowlands/forest_pine_01/gen_northern_lowlands_02/gen_northern_lowlands_03,1
3828,990,20/18/42/86,255/0/0/0,drylands_01_grassy/drylands_01/mountain_02_d/gen_desert_base,63/28/0/0,drylands_01_grassy/gen_tropical_lowlands_03/gen_drylands_lowlands_02/drylands_01,2
3793,6738,6/7/5/255,141/111/3/0,beach_02/beach_02_mediterranean/debug/?,141/111/3/-1,beach_02/beach_02_mediterranean/debug/drought,3
53,5470,96/94/92/93,151/54/34/16,gen_drylands_lowlands_02/gen_drylands_base/gen_desert_mountain/gen_desert_mountain_transition,0/0/0/0,gen_northern_mountain/gen_northern_lowlands_03/gen_northern_lowlands/gen_northern_lowlands_02,0
724,1725,26/92/94/91,184/41/17/13,forest_pine_01/gen_desert_mountain/gen_drylands_base/gen_desert_hills,168/0/0/0,forest_pine_01/gen_northern_lowlands/gen_northern_lowlands_03/gen_northern_base,1
3190,2378,16/80/76/79,152/55/48/0,desert_wavy_01/gen_steppe_lowlands/gen_central_hills/gen_steppe_base,137/0/0/0,desert_wavy_01/gen_desert_lowlands_04/gen_desert_base/gen_desert_lowlands_02,1
1866,8275,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
1571,2389,66/68/29/28,116/71/68/0,gen_tropical_lowlands/gen_tropical_lowlands_03/hills_01_rocks/hills_01,0/0/36/35,gen_central_hills/gen_central_mountain_transition/hills_01_rocks/hills_01,2
338,7739,41/94/65/6,225/18/12/0,mountain_02_c_snow/gen_drylands_base/gen_tropical_base/beach_02,0/0/0/1,plains_01/gen_northern_lowlands_03/gen_central_lowlands_03/gen_northern_lowlands_02,0
876,6921,70/69/63/85,121/56/50/28,gen_tropical_mountain/gen_tropical_hills/central_lowlands_02/gen_steppe_mountain_transition,0/0/0/2,gen_steppe_lowlands/gen_steppe_base/gen_central_lowlands/gen_drylands_lowlands,0
3953,8410,6/7/5/255,211/42/2/0,beach_02/beach_02_mediterranean/debug/?,211/42/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
3834,8361,6/7/88/57,105/86/64/0,beach_02/beach_02_mediterranean/gen_desert_lowlands_02/steppe_bushes,99/82/0/0,beach_02/beach_02_mediterranean/gen_drylands_hills/gen_northern_lowlands,2
3819,8768,7/55/6/57,231/10/7/7,beach_02_mediterranean/plains_01_rough/beach_02/steppe_bushes,226/0/7/0,beach_02_mediterranean/gen_tropical_base/gen_tropical_lowlands_02/beach_02,2
2634,8412,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
644,7216,94/65/64/93,100/58/50/47,gen_drylands_base/gen_tropical_base/central_lowlands_03/gen_desert_mountain_transition,0/0/0/0,gen_northern_lowlands_03/gen_central_lowlands_03/gen_central_lowlands_02/gen_northern_lowlands_02,0
1485,31,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2428,2676,104/101/100/99,88/74/57/36,gen_northern_lowlands_03/gen_northern_base/gen_drylands_mountain_transition/gen_drylands_mountain,0/0/0/0,gen_mediterranean_mountain_transition/gen_mediterranean_lowlands_03/gen_mediterranean_lowlands_02/gen_mediterranean_lowlands,0
4589,1184,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1189,8428,66/63/65/68,141/114/0/0,gen_tropical_lowlands/central_lowlands_02/gen_tropical_base/gen_tropical_lowlands_03,0/0/0/0,gen_central_hills/gen_central_lowlands/gen_central_lowlands_03/gen_central_mountain_transition,0
2527,1685,6/12/5/255,216/34/5/0,beach_02/desert_02/debug/?,216/34/5/-1,beach_02/desert_02/debug/drought,3
2266,7474,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
2316,7972,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2549,4353,20/33/44/85,137/53/37/28,drylands_01_grassy/medi_dry_mud/mountain_02_d_valleys/gen_steppe_mountain_transition,137/53/0/0,drylands_01_grassy/medi_dry_mud/plains_01_noisy/gen_drylands_lowlands,2
3246,4975,54/20/87/85,120/54/42/39,plains_01_noisy/drylands_01_grassy/gen_desert_lowlands/gen_steppe_mountain_transition,1/39/0/0,central_lowlands_03/drylands_01_grassy/gen_drylands_lowlands_03/gen_drylands_lowlands,1
489,904,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
4520,8941,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3983,8981,6/7/5/255,143/108/4/0,beach_02/beach_02_mediterranean/debug/?,143/108/4/-1,beach_02/beach_02_mediterranean/debug/drought,3
3538,5156,59/61/56/58,109/74/44/28,steppe_rocks/wetlands_02_mud/snow/steppe_grass,0/0/0/0,gen_tropical_hills/gen_tropical_mountain_transition/gen_tropical_lowlands/gen_tropical_lowlands_03,0
1284,1968,65/64/43/41,79/72/64/40,gen_tropical_base/central_lowlands_03/mountain_02_d_snow/mountain_02_c_snow,0/0/0/0,gen_central_lowlands_03/gen_central_lowlands_02/plains_01_dry_mud/plains_01,0
2031,1829,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2060,1594,101/102/98/100,104/87/45/19,gen_northern_base/gen_northern_lowlands/gen_drylands_hills/gen_drylands_mountain_transition,0/0/0/0,gen_mediterranean_lowlands_03/gen_mediterranean_hills/gen_mediterranean_base/gen_mediterranean_lowlands_02,0
1423,3665,47/16/76/20,155/54/46/0,mountain_03/desert_wavy_01/gen_central_hills/drylands_01_grassy,0/41/0/19,steppe_bushes/desert_wavy_01/gen_desert_base/drylands_01_grassy,2
263,5107,94/47/93/91,150/61/33/11,gen_drylands_base/mountain_03/gen_desert_mountain_transition/gen_desert_hills,0/0/0/0,gen_northern_lowlands_03/steppe_bushes/gen_northern_lowlands_02/gen_northern_base,0
3429,8860,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
12,7922,67/96/46/92,94/92/58/11,gen_tropical_lowlands_02/gen_drylands_lowlands_02/mountain_02_snow/gen_desert_mountain,0/0/0/0,gen_central_mountain/gen_northern_mountain/snow/gen_northern_lowlands,0
3511,6309,21/57/58/56,96/95/36/28,farm_paddy_01/steppe_bushes/steppe_grass/snow,91/0/0/0,farm_paddy_01/gen_tropical_lowlands_02/gen_tropical_lowlands_03/gen_tropical_lowlands,1
899,2488,94/65/68/255,122/67/66/0,gen_drylands_base/gen_tropical_base/gen_tropical_lowlands_03/?,0/0/0/-1,gen_northern_lowlands_03/gen_central_lowlands_03/gen_central_mountain_transition/gen_central_lowlands_02,0
2963,8595,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
1574,1924,68/65/64/67,155/61/39/0,gen_tropical_lowlands_03/gen_tropical_base/central_lowlands_03/gen_tropical_lowlands_02,0/0/0/0,gen_central_mountain_transition/gen_central_mountain/gen_central_lowlands_03/gen_central_lowlands_02,0
1088,2228,65/25/64/94,96/59/57/43,gen_tropical_base/forest_leaf_01/central_lowlands_03/gen_drylands_base,0/48/0/0,gen_central_lowlands_03/forest_leaf_01/gen_central_lowlands_02/gen_northern_lowlands_03,1
4276,7231,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
2186,6303,82/46/76/89,118/109/14/14,gen_steppe_lowlands_03/mountain_02_snow/gen_central_hills/gen_desert_lowlands_03,0/0/0/0,gen_desert_mountain/snow/gen_desert_base/gen_drylands_mountain,0
4099,5218,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
875,8438,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
2214,5232,16/20/76/15,101/81/73/0,desert_wavy_01/drylands_01_grassy/gen_central_hills/desert_rocky,87/69/0/0,desert_wavy_01/drylands_01_grassy/gen_desert_base/hills_01_rocks_medi,2
1599,623,6/5/255/255,251/4/0/0,beach_02/debug/?/?,251/4/-1/-1,beach_02/debug/drought/drought_cracks,2
2095,5485,13/76/78/28,96/82/66/11,desert_cracked/gen_central_hills/gen_central_mountain_transition/hills_01,95/0/0/11,desert_cracked/gen_desert_base/gen_desert_lowlands_02/hills_01,2
54,1013,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3073,7454,6/7/5/255,141/112/2/0,beach_02/beach_02_mediterranean/debug/?,141/112/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
1588,2808,71/72/69/47,144/75/27/9,gen_tropical_mountain_transition/gen_central_base/gen_tropical_hills/mountain_03,0/0/0/0,gen_steppe_lowlands_02/gen_steppe_lowlands_03/gen_steppe_base/steppe_bushes,0
3957,7191,6/7/5/255,141/112/2/0,beach_02/beach_02_mediterranean/debug/?,141/112/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
981,8488,6/5/255/255,250/5/0/0,beach_02/debug/?/?,250/5/-1/-1,beach_02/debug/drought/drought_cracks,2
1554,2440,45/64/28/43,94/77/42/42,mountain_02_desert_c/central_lowlands_03/hills_01/mountain_02_d_snow,0/0/29/0,plains_01_rough/gen_central_lowlands_02/plains_01_dry_mud/hills_01,1
210,8328,6/5/255/255,251/4/0/0,beach_02/debug/?/?,251/4/-1/-1,beach_02/debug/drought/drought_cracks,2
3657,3343,18/76/13/15,117/63/39/36,drylands_01/gen_central_hills/desert_cracked/desert_rocky,90/0/30/28,drylands_01/gen_desert_base/desert_cracked/desert_rocky,3
2460,3420,44/20/86/85,130/78/27/20,mountain_02_d_valleys/drylands_01_grassy/gen_desert_base/gen_steppe_mountain_transition,0/67/0/0,plains_01_noisy/drylands_01_grassy/gen_drylands_lowlands_02/gen_drylands_lowlands,1
1838,9200,6/7/5/255,168/85/2/0,beach_02/beach_02_mediterranean/debug/?,168/85/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
4225,8616,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2737,7721,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
4441,370,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3398,4981,24/58/57/55,167/61/15/12,forest_jungle_01/steppe_grass/steppe_bushes/plains_01_rough,166/0/0/0,forest_jungle_01/gen_tropical_lowlands_03/gen_tropical_lowlands_02/gen_tropical_base,1
2698,1737,6/12/5/80,176/75/3/1,beach_02/desert_02/debug/gen_steppe_lowlands,176/75/3/0,beach_02/desert_02/debug/gen_desert_lowlands_04,3
2310,2950,103/100/101/255,121/76/58/0,gen_northern_lowlands_02/gen_drylands_mountain_transition/gen_northern_base/?,0/0/0/-1,gen_mediterranean_mountain/gen_mediterranean_lowlands_02/gen_mediterranean_lowlands_03/gen_central_mountain,0
930,4024,44/26/92/29,255/0/0/0,mountain_02_d_valleys/forest_pine_01/gen_desert_mountain/hills_01_rocks,0/47/0/34,plains_01_noisy/gen_northern_lowlands/forest_pine_01/gen_northern_lowlands_02,1
3183,8295,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3644,7363,6/7/5/255,141/112/2/0,beach_02/beach_02_mediterranean/debug/?,141/112/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
3213,2606,16/76/78/80,167/45/36/7,desert_wavy_01/gen_central_hills/gen_central_mountain_transition/gen_steppe_lowlands,166/0/0/0,desert_wavy_01/gen_desert_base/gen_desert_lowlands_02/gen_desert_lowlands_04,1
1901,8793,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
26,4265,47/93/92/94,91/80/63/21,mountain_03/gen_desert_mountain_transition/gen_desert_mountain/gen_drylands_base,0/0/0/0,steppe_bushes/gen_northern_lowlands_02/gen_northern_lowlands/gen_northern_lowlands_03,0
3384,6450,6/7/5/12,141/111/2/1,beach_02/beach_02_mediterranean/debug/desert_02,141/111/2/1,beach_02/beach_02_mediterranean/debug/desert_02,4
180,5469,93/47/92/91,112/73/70/0,gen_desert_mountain_transition/mountain_03/gen_desert_mountain/gen_desert_hills,0/0/0/0,gen_northern_lowlands_02/steppe_bushes/gen_northern_lowlands/gen_northern_lowlands_03,0
3704,1457,20/85/87/86,133/78/44/0,drylands_01_grassy/gen_steppe_mountain_transition/gen_desert_lowlands/gen_desert_base,94/0/0/0,drylands_01_grassy/gen_drylands_lowlands/gen_drylands_lowlands_03/hills_01_rocks_medi,1
686,7071,63/92/64/93,79/64/61/51,central_lowlands_02/gen_desert_mountain/central_lowlands_03/gen_desert_mountain_transition,0/0/0/0,gen_central_lowlands/gen_northern_lowlands/gen_central_lowlands_02/gen_northern_lowlands_02,0
1412,5138,72/70/69/73,127/80/48/0,gen_central_base/gen_tropical_mountain/gen_tropical_hills/gen_central_lowlands,0/0/0/0,gen_steppe_lowlands_03/gen_steppe_lowlands/gen_steppe_base/drylands_01_grassy,0
984,6515,67/63/62/96,131/90/21/13,gen_tropical_lowlands_02/central_lowlands_02/central_mountain/gen_drylands_lowlands_02,0/0/0/0,gen_central_mountain/gen_central_lowlands/gen_central_base/gen_northern_mountain,0
2490,107,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
936,6329,96/73/74/255,117/69/69/0,gen_drylands_lowlands_02/gen_central_lowlands/gen_central_lowlands_02/?,0/0/0/-1,gen_northern_mountain/gen_steppe_mountain/gen_steppe_hills/gen_northern_hills,0
1191,1580,25/64/65/63,108/94/53/0,forest_leaf_01/central_lowlands_03/gen_tropical_base/central_lowlands_02,96/0/0/0,forest_leaf_01/gen_central_lowlands_02/gen_central_lowlands_03/gen_central_lowlands,1
225,1910,96/46/94/92,126/83/27/19,gen_drylands_lowlands_02/mountain_02_snow/gen_drylands_base/gen_desert_mountain,0/0/0/0,gen_northern_mountain/snow/gen_northern_lowlands_03/gen_northern_lowlands,0
4520,8154,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1000,3119,10/6/66/255,130/94/31/0,coastline_cliff_grey/beach_02/gen_tropical_lowlands/?,124/89/0/-1,coastline_cliff_grey/beach_02/gen_central_hills/debug,2
882,9056,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2769,6911,6/7/5/255,166/87/2/0,beach_02/beach_02_mediterranean/debug/?,166/87/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
651,6988,41/64/65/63,149/106/0/0,mountain_02_c_snow/central_lowlands_03/gen_tropical_base/central_lowlands_02,0/0/0/0,plains_01/gen_central_lowlands_02/gen_central_lowlands/gen_northern_lowlands_02,0
4083,5322,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3604,6896,6/7/5/255,141/113/1/0,beach_02/beach_02_mediterranean/debug/?,141/113/1/-1,beach_02/beach_02_mediterranean/debug/drought,3
1610,8409,66/68/63/88,166/50/39/0,gen_tropical_lowlands/gen_tropical_lowlands_03/central_lowlands_02/gen_desert_lowlands_02,0/0/0/0,gen_central_hills/gen_central_mountain_transition/gen_central_lowlands/gen_drylands_hills,0
1844,1907,41/45/65/63,116/107/17/15,mountain_02_c_snow/mountain_02_desert_c/gen_tropical_base/central_lowlands_02,0/0/0/0,plains_01/plains_01_rough/gen_central_lowlands_03/gen_central_lowlands,0
1688,649,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3387,4980,24/58/57/55,166/56/21/12,forest_jungle_01/steppe_grass/steppe_bushes/plains_01_rough,161/0/0/0,forest_jungle_01/gen_tropical_lowlands_03/gen_tropical_lowlands_02/gen_tropical_base,1
1920,9068,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1315,6598,70/69/71/72,127/78/26/24,gen_tropical_mountain/gen_tropical_hills/gen_tropical_mountain_transition/gen_central_base,0/0/0/0,gen_steppe_lowlands/gen_steppe_base/gen_steppe_lowlands_02/gen_steppe_lowlands_03,0
3135,4548,6/5/255/255,247/8/0/0,beach_02/debug/?/?,247/8/-1/-1,beach_02/debug/drought/drought_cracks,2
633,4720,26/94/93/92,175/59/12/9,forest_pine_01/gen_drylands_base/gen_desert_mountain_transition/gen_desert_mountain,172/0/0/0,forest_pine_01/gen_northern_lowlands_03/gen_northern_lowlands_02/gen_northern_lowlands,1
3618,2726,20/25/80/18,168/58/29/0,drylands_01_grassy/forest_leaf_01/gen_steppe_lowlands/drylands_01,154/53/0/5,drylands_01_grassy/forest_leaf_01/gen_desert_lowlands_04/gen_drylands_lowlands,2
1965,4638,45/63/72/69,98/71/70/16,mountain_02_desert_c/central_lowlands_02/gen_central_base/gen_tropical_hills,0/0/11/0,plains_01_rough/gen_central_lowlands/gen_steppe_lowlands_03/gen_steppe_base,0
4335,923,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1203,317,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1731,631,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
4017,7895,7/6/24/5,197/29/29/0,beach_02_mediterranean/beach_02/forest_jungle_01/debug,197/29/29/0,beach_02_mediterranean/beach_02/forest_jungle_01/drought,3
3256,9137,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
186,7235,41/92/47/63,182/40/33/0,mountain_02_c_snow/gen_desert_mountain/mountain_03/central_lowlands_02,0/0/0/0,plains_01/gen_northern_lowlands/steppe_bushes/gen_northern_lowlands_02,0
1574,7250,64/63/41/62,123/47/44/41,central_lowlands_03/central_lowlands_02/mountain_02_c_snow/central_mountain,0/0/0/0,gen_central_lowlands_02/gen_central_lowlands/plains_01/gen_central_base,0
74,4077,94/47/92/91,107/101/47/0,gen_drylands_base/mountain_03/gen_desert_mountain/gen_desert_hills,0/0/0/0,gen_northern_lowlands_03/steppe_bushes/gen_northern_lowlands/gen_northern_base,0
3797,9020,6/5/255/255,248/7/0/0,beach_02/debug/?/?,248/7/-1/-1,beach_02/debug/drought/drought_cracks,2
1919,5605,82/78/76/80,172/45/38/0,gen_steppe_lowlands_03/gen_central_mountain_transition/gen_central_hills/gen_steppe_lowlands,0/0/0/0,gen_desert_mountain/gen_desert_lowlands_02/gen_desert_base/gen_desert_lowlands_04,0
1062,7808,25/64/65/87,240/15/0/0,forest_leaf_01/central_lowlands_03/gen_tropical_base/gen_desert_lowlands,189/0/0/0,forest_leaf_01/gen_steppe_lowlands_02/gen_central_lowlands_02/gen_central_base,1
3343,7189,6/7/5/255,141/112/2/0,beach_02/beach_02_mediterranean/debug/?,141/112/2/-1,beach_02/beach_02_mediterranean/debug/drought,3
4013,3969,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
478,4551,26/93/92/91,199/23/22/11,forest_pine_01/gen_desert_mountain_transition/gen_desert_mountain/gen_desert_hills,195/0/0/0,forest_pine_01/gen_northern_lowlands_02/gen_northern_lowlands/gen_northern_base,1
2327,1773,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
1687,6664,72/85/70/86,112/76/67/0,gen_central_base/gen_steppe_mountain_transition/gen_tropical_mountain/gen_desert_base,8/0/0/0,gen_steppe_lowlands_03/gen_drylands_lowlands/gen_steppe_lowlands/gen_drylands_base,0
3342,4948,24/58/59/61,189/66/0/0,forest_jungle_01/steppe_grass/steppe_rocks/wetlands_02_mud,143/0/0/0,forest_jungle_01/gen_tropical_lowlands_03/gen_tropical_mountain_transition/gen_tropical_base,1
4284,6174,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
2465,2206,6/5/255/255,249/6/0/0,beach_02/debug/?/?,249/6/-1/-1,beach_02/debug/drought/drought_cracks,2
3451,382,15/76/86/79,202/34/19/0,desert_rocky/gen_central_hills/gen_desert_base/gen_steppe_base,146/0/25/0,desert_rocky/gen_desert_base/gen_drylands_lowlands_02/drylands_01_grassy,2
1456,1469,65/41/43/64,100/83/72/0,gen_tropical_base/mountain_02_c_snow/mountain_02_d_snow/central_lowlands_03,0/0/0/0,gen_central_lowlands_03/plains_01/plains_01_dry_mud/gen_central_lowlands_02,0
