key,section,count
z_bard,effect,1
z_warlock,effect,1
z_artificer,effect,1
any_realm_wonder_upgrade,effect,1
destroy_wonder_upgrade,effect,1
c_leilon,effect,1
c_kryptgarden_forest,effect,1
c_cony_gap,effect,1
c_fell_pass,effect,1
c_dark_arrow,effect,1
c_valley_of_klaidson,effect,1
grant_title_no_opinion,effect,1
d_waterdeep,effect,1
expert_cleric,effect,1
journeyman_cleric,effect,1
trained_cleric,effect,1
cleric,effect,1
rightful_religious_head_scope,effect,1
secret_religion_scope,effect,1
set_society_grandmaster,effect,1
add_society_currency_massive_effect,effect,1
has_prevs_secret_religion_truly_trigger,effect,1
has_sympathy_for_true_religion_of_prev_trigger,effect,1
secret_religious_society_triadic,effect,1
secret_religious_society_arcane,effect,1
secret_religious_society_rasallesian,effect,1
secret_religious_society_chessic,effect,1
secret_religious_society_mercantile,effect,1
secret_religious_society_inventive,effect,1
secret_religious_society_joyful,effect,1
secret_religious_society_calishite_faith,effect,1
secret_religious_society_lapal_faith,effect,1
secret_religious_society_mulhorandi_faith,effect,1
secret_religious_society_untheric_faith,effect,1
secret_religious_society_enlil,effect,1
secret_religious_society_halfling_pantheon,effect,1
secret_religious_society_solar,effect,1
secret_religious_society_deities_of_fury,effect,1
secret_religious_society_natural,effect,1
secret_religious_society_kossuth,effect,1
secret_religious_society_geomancy,effect,1
secret_religious_society_primordial,effect,1
secret_religious_society_tuigan_shamanism,effect,1
secret_religious_society_uthgardt_reformed,effect,1
secret_religious_society_uthgardt_faith,effect,1
secret_religious_society_martial_faith,effect,1
secret_religious_society_ubtao_worship,effect,1
secret_religious_society_earthmother_reformed,effect,1
secret_religious_society_earthmother,effect,1
secret_religious_society_toteteohuan,effect,1
secret_religious_society_dead_three,effect,1
secret_religious_society_shadow_gods,effect,1
secret_religious_society_ghaunadaur,effect,1
secret_religious_society_loviatar,effect,1
secret_religious_society_church_of_cyric,effect,1
secret_religious_society_abyssal_cult,effect,1
secret_religious_society_infernal,effect,1
secret_religious_society_scale_cult,effect,1
secret_religious_society_ten_thousand_gods,effect,1
secret_religious_society_qisma,effect,1
secret_religious_society_pantheist_league,effect,1
secret_religious_society_muhjari,effect,1
secret_religious_society_kahin,effect,1
secret_religious_society_thasmudyanic,effect,1
secret_religious_society_nogari_reformed,effect,1
secret_religious_society_nogari,effect,1
secret_religious_society_jaziri,effect,1
secret_religious_society_jaziri_reformed,effect,1
secret_religious_society_padhran,effect,1
secret_religious_society_the_path,effect,1
secret_religious_society_chung_tao,effect,1
secret_religious_society_nine_travelers,effect,1
secret_religious_society_adama,effect,1
secret_religious_society_animist,effect,1
secret_religious_society_elven_pantheon,effect,1
secret_religious_society_asathalfinare,effect,1
secret_religious_society_sylvan,effect,1
secret_religious_society_eilistraee,effect,1
secret_religious_society_yuir_reformed,effect,1
secret_religious_society_yuir,effect,1
secret_religious_society_lolth_cult,effect,1
secret_religious_society_vhaeraun,effect,1
secret_religious_society_kiaransalee,effect,1
secret_religious_society_dwarven_pantheon,effect,1
secret_religious_society_laduguer,effect,1
secret_religious_society_gnome_pantheon,effect,1
secret_religious_society_urdlen,effect,1
secret_religious_society_giant_pantheon,effect,1
secret_religious_society_vaprak,effect,1
secret_religious_society_karontor,effect,1
secret_religious_society_ulutiuan_reformed,effect,1
secret_religious_society_ulutiuan,effect,1
secret_religious_society_draconic_pantheon,effect,1
secret_religious_society_tiamat,effect,1
secret_religious_society_bahamut,effect,1
secret_religious_society_goblin_pantheon,effect,1
secret_religious_society_goblin_reformed,effect,1
secret_religious_society_orc_pantheon,effect,1
secret_religious_society_orc_reformed,effect,1
secret_religious_society_faithless,effect,1
secret_religious_society_entropy,effect,1
secret_religious_society_blue_flame,effect,1
secret_religious_society_ancestral_cult,effect,1
secret_religious_society_qukoku,effect,1
secret_religious_society_beholder_pantheon,effect,1
secret_religious_society_illithid_pantheon,effect,1
secret_religious_society_faceless_god,effect,1
flip_secret_religious_community_provinces,effect,1
convert_to_secret_religion,effect,1
any_realm_lord,effect,1
remove_treatment_modifiers_effect,effect,1
random_courtier_or_vassal,effect,1
lifestyle_traits,effect,1
clr_offmap_flag,effect,1
shou_lung_war_modify_variables_by_status_effect,effect,1
shou_lung_war_modify_variables_by_century_effect,effect,1
event_target:enemy,effect,1
shou_lung_war_spawn_troops_effect,effect,1
remove_title,effect,1
has_guardian,effect,1
is_abroad,effect,1
always,effect,1
is_building_wonder_upgrade,effect,1
offmap_has_like,effect,1
detract_grace_massive_effect,effect,1
detract_grace_major_effect,effect,1
turn_vampire_effect,effect,1
uthgar_black_lion,effect,1
uthgar_black_raven,effect,1
uthgar_blue_bear,effect,1
uthgar_elk,effect,1
uthgar_gray_wolf,effect,1
uthgar_great_worm,effect,1
uthgar_griffon,effect,1
uthgar_red_tiger,effect,1
uthgar_sky_pony,effect,1
uthgar_thunderbeast,effect,1
uthgar_tree_ghost,effect,1
race,effect,1
d_flaming_fist,effect,1
d_sun_soul,effect,1
evilcat_remove_patrons,effect,1
remove_lifestyle_trait_effect,effect,1
join_prev_warrior_lodge_society_effect,effect,1
give_this_warrior_lodge_religion_effect,effect,1
add_warrior_lodge_leader_trait_effect,effect,1
pick_martial_class_effect,effect,1
genetic_father,effect,1
genetic_mother,effect,1
fertility,effect,1
health,effect,1
set_father,effect,1
set_mother,effect,1
copy_traits_of_PREV,effect,1
any_sibling,effect,1
add_rival,effect,1
recalc_succession,effect,1
expert_sorcerer,effect,1
journeyman_sorcerer,effect,1
add_society_currency_large_effect,effect,1
e_zhentarim,effect,1
make_tributary,effect,1
percentage,effect,1
tributary_type,effect,1
