ck2_trait,source_file,ck3_treatment,note
bio_orin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_oswald,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_othovir,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_pandorym,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_pelendralaar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_penelope,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_pereghost,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_pharaun,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_piergeiron,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_presto,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_protanther,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_pwyll,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_quavylene,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_quayle,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_quenthel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_rakor,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_raphael,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_rasaad,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_rashel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_redeye,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_regis,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_remallia,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ren,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_renwick,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_rezmir,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_rizzen,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_robillard,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_robyn,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_rora,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_rowen,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ryld,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_rynnarvyx,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_saarvin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_safana,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_saharel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sammaster,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sangalor,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sansuri,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sarevok,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sarya,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sathfissith,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_schael,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_scyllua,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sememmon,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sendai,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_serissa,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_severin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_shadowheart,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_shaerl,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_shalendra,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_shandril,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_shar_teel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sharpfangs,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sharwyn,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sheila,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_shuruppak,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_simbul,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_simon,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sirac,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_skie,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sofina,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_soneillon,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_songal,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sosumptu,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_srossar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_sseth,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_storm_silverhand,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_storvald,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_szass,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_taern,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tamarand,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tanalasta,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tchazzar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_teirgoh,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_thalamra,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_thamalon,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_thauglorimorgorus,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_thavius,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_thazienne,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_themberchaud,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tiago,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tiamat_planar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tiamat_unther,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tiax,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tomi,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_torg,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_torlin,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_trelasarra,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_triel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tristan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_trobriand,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_trovus,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tsabanor,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tsabrak,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tsao,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_tyranthraxus,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ulder,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_uresgol,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_ususi,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_vaelish,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_vajra,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_vala,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_valamaradace,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_valen,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_valindra,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_valygar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_veiti,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_vellynne,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_vendes,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_venger,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_viconia,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_vierna,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_vizeran,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_voaraghamanthar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_voghiln,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_volo,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_volsembra,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_voss,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_waervaerendor,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_wulfgar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_wyll,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_xan,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_xanathar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_xanos,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_xardorok,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_xenk,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_xeremiah,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_xvim,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_xzar,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_xzar2,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_yamun,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_yeenoghu,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_yeslick,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_yoshimo,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_yu_wu,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_yvonnel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_zaknafein,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_zaltember,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_zalto,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_zaranda,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_zariel,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_zelraun,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_zhengyi,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_zhjaeve,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_zrie,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bio_zushaxx,z_biography_traits.txt,comment,hidden biography/flavour marker read by Faerun events
bisexual,roleplaying_traits.txt,comment,roleplaying marker read by Faerun events
black_chung_tao,god_patron_traits.txt,comment,"god-patron trait, drives CK2 <trait>_opinion modifiers; no CK3 equivalent"
bright,Congenital_Traits.txt,port,congenital trait; CK3 target is genetic = yes plus a group/level tier
brilliant,Congenital_Traits.txt,port,congenital trait; CK3 target is genetic = yes plus a group/level tier
careless,acquired_traits.txt,port,acquired character trait
chosen_asmodeus,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_auril,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_bahamut,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_bane,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_bhaal,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_cyric,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_deneir,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_eilistraee,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_enlil,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_faceless_god,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_gilgeam,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_gruumsh,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_helm,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_kossuth,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_lolth,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_malar,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_mask,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_mielikki,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_myrkul,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_mystra,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_seldarine,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_shar,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_siamorphe,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_sseth,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_sune,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_talona,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_thasmudyan,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_tiamat,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_ubtao,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
chosen_umberlee,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
class_monk,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
cleric,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
construct,misc_traits.txt,port,misc character trait
creature_aarakocra,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_aasimar,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_aboleth,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_abomination,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_beholder,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_bugbear,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_celestial,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_centaur,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_construct,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_deep_imaskari,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_draegloth,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_dragon,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_dragonborn,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_drow,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_dwarf,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_elder_brain,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_elf,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_feyri,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_fiend,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_genasi,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_genie,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_giant,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_gith,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_gnoll,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_gnome,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_goblin,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_goliath,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_hag,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_hagspawn,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_half_dwarf,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_half_elf,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_half_giant,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_half_gnoll,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_half_ogre,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_half_orc,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_halfling,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_hengeyokai,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_hobgoblin,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_human,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_illithid,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_kobold,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_kuotoa,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_lamia,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_lizardfolk,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_malenti,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_malison,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_minotaur,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_monster,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_naga,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_ogre,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_ogrillon,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_orc,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_outsider,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_pterafolk,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_pureblood,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_sahuagin,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_sarrukh,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_satyr,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_saurial,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_slaad,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_spirit_folk,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_tabaxi,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_tanarukk,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_tengu,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_tiefling,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_treant,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_troll,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_ulitharid,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_wemic,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
creature_yikarian,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
cursed,misc_traits.txt,port,misc character trait
deathmask,misc_traits.txt,port,misc character trait
delicate,Congenital_Traits.txt,port,congenital trait; CK3 target is genetic = yes plus a group/level tier
dhampyr,template_traits.txt,race_trait,"creature template (lycanthrope, feytouched, ...); owned by the races lane"
dim,Congenital_Traits.txt,port,congenital trait; CK3 target is genetic = yes plus a group/level tier
dragon_adult,misc_traits.txt,port,misc character trait
dragon_ancient,misc_traits.txt,port,misc character trait
dragon_wyrmling,misc_traits.txt,port,misc character trait
dragon_young,misc_traits.txt,port,misc character trait
druid,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
dumb,Congenital_Traits.txt,port,congenital trait; CK3 target is genetic = yes plus a group/level tier
dwarven_lodge_leader,02_traits.txt,port,Faerun addition to the vanilla trait file
elder_orb,template_traits.txt,race_trait,"creature template (lycanthrope, feytouched, ...); owned by the races lane"
elven_lodge_leader,02_traits.txt,port,Faerun addition to the vanilla trait file
ethoist,religious_traits.txt,comment,chosen-of-deity trait tied to the CK2 religion system
expert_aristocrat,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_artificer,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_barbarian,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_bard,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_cleric,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_druid,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_fighter,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_monk,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_paladin,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_psion,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_ranger,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_rogue,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_shadow,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_sorcerer,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_warlock,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
expert_wizard,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
feytouched,template_traits.txt,race_trait,"creature template (lycanthrope, feytouched, ...); owned by the races lane"
fighter,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
fit,acquired_traits.txt,port,acquired character trait
former_adventurer,roleplaying_traits.txt,comment,roleplaying marker read by Faerun events
goblins_lodge_leader,02_traits.txt,port,Faerun addition to the vanilla trait file
greater_celestial,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
greater_fiend,race_traits.txt,race_trait,creature/race trait; owned by the races lane (docs/design_races.md)
grounded,02_traits.txt,port,Faerun addition to the vanilla trait file
half_celestial,template_traits.txt,race_trait,"creature template (lycanthrope, feytouched, ...); owned by the races lane"
half_dragon,template_traits.txt,race_trait,"creature template (lycanthrope, feytouched, ...); owned by the races lane"
half_fiend,template_traits.txt,race_trait,"creature template (lycanthrope, feytouched, ...); owned by the races lane"
half_troll,template_traits.txt,race_trait,"creature template (lycanthrope, feytouched, ...); owned by the races lane"
hardy,Congenital_Traits.txt,port,congenital trait; CK3 target is genetic = yes plus a group/level tier
hearty,acquired_traits.txt,port,acquired character trait
hidden_spellplague_trait,misc_traits.txt,port,misc character trait
horned,misc_traits.txt,port,misc character trait
hornless,misc_traits.txt,port,misc character trait
idiot,Congenital_Traits.txt,port,congenital trait; CK3 target is genetic = yes plus a group/level tier
ignorant,acquired_traits.txt,port,acquired character trait
immaculate,acquired_traits.txt,port,acquired character trait
is_clone,misc_traits.txt,port,misc character trait
is_spelljamming,misc_traits.txt,port,misc character trait
journeyman_aristocrat,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_artificer,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_barbarian,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_bard,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_cleric,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_druid,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_fighter,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_monk,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_paladin,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_psion,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_ranger,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_rogue,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_shadow,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_sorcerer,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_warlock,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
journeyman_wizard,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
knight_order_leader,02_traits.txt,port,Faerun addition to the vanilla trait file
learned,acquired_traits.txt,port,acquired character trait
legendary_aristocrat,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_artificer,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_barbarian,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_bard,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_cleric,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_druid,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_fighter,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_monk,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_paladin,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_psion,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_ranger,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_rogue,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_shadow,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_sorcerer,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_warlock,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
legendary_wizard,character_class_traits.txt,comment,D&D class/level system; no CK3 equivalent
