ck2_code,occurrences,scope_chain,function,status,ck3_code,evidence
[Root.GetLeLaCap],9,Root,GetLeLaCap,custom,[ROOT.Char.Custom('GetLeLaCap')],Faerun/Faerun/localisation/HolyFury.csv:8175
[original_hero.GetTitledFirstName],9,original_hero,GetTitledFirstName,named_scope,[original_hero.GetTitledFirstName],Faerun/Faerun/localisation/HolyFury.csv:8263
[target_ruler.PrimaryTitle.GetName],9,target_ruler.PrimaryTitle,GetName,named_scope,[target_ruler.GetPrimaryTitle.GetName],Faerun/Faerun/localisation/HolyFury.csv:8263
[bloodline_founder.GetTitledFirstName],9,bloodline_founder,GetTitledFirstName,named_scope,[bloodline_founder.GetTitledFirstName],Faerun/Faerun/localisation/HolyFury.csv:8393
[current_location.Culture.GetName],9,current_location.Culture,GetName,named_scope,[current_location.GetCulture.GetName],Faerun/Faerun/localisation/HolyFury.csv:8864
[shepherds_leader.Religion.GetHighGodName],9,shepherds_leader.Religion,GetHighGodName,named_scope,[shepherds_leader.GetFaith.HighGodName],Faerun/Faerun/localisation/HolyFury.csv:8918
[invited_character.GetTitledFirstName],9,invited_character,GetTitledFirstName,named_scope,[invited_character.GetTitledFirstName],Faerun/Faerun/localisation/HolyFury.csv:9885
[arm_wrestling_fighter_2.GetFirstName],9,arm_wrestling_fighter_2,GetFirstName,named_scope,[arm_wrestling_fighter_2.GetFirstName],Faerun/Faerun/localisation/HolyFury.csv:10562
[childrens_crusade_leader.GetHerHis],9,childrens_crusade_leader,GetHerHis,named_scope,[childrens_crusade_leader.GetHerHis],Faerun/Faerun/localisation/HolyFury.csv:11282
[From.GetHerHimCap],9,From,GetHerHimCap,mapped,[ck2_from.GetHerHim|U],Faerun/Faerun/localisation/HolyFury.csv:12476
[scoped_kindred.GetTitledFirstName],9,scoped_kindred,GetTitledFirstName,named_scope,[scoped_kindred.GetTitledFirstName],Faerun/Faerun/localisation/HolyFury.csv:12765
[Recipient.GetOppositeConsortSex],9,Recipient,GetOppositeConsortSex,custom,[Recipient.Custom('GetOppositeConsortSex')],Faerun/Faerun/localisation/HolyFury.csv:12823
[Actor.Spouse.GetFirstName],9,Actor.Spouse,GetFirstName,named_scope,[Actor.GetPrimarySpouse.GetFirstName],Faerun/Faerun/localisation/HolyFury.csv:12845
[combatant_1.GetRootRelation],9,combatant_1,GetRootRelation,custom,[combatant_1.Custom('GetRootRelation')],Faerun/Faerun/localisation/HolyFury.csv:13386
[student.Get_E],9,student,Get_E,custom,[student.Custom('Get_E')],Faerun/Faerun/localisation/HolyFury.csv:13492
[assassin_protege.GetIlElleCap],9,assassin_protege,GetIlElleCap,custom,[assassin_protege.Custom('GetIlElleCap')],Faerun/Faerun/localisation/MonksAndMystics.csv:51
[shiite_defender.GetTitledFirstName],9,shiite_defender,GetTitledFirstName,named_scope,[shiite_defender.GetTitledFirstName],Faerun/Faerun/localisation/MonksAndMystics.csv:312
[threaten_dear_relation.GetTitledFirstName],9,threaten_dear_relation,GetTitledFirstName,named_scope,[threaten_dear_relation.GetTitledFirstName],Faerun/Faerun/localisation/MonksAndMystics.csv:432
[Recipient.Get_au_TitledFirstNameJ],9,Recipient,Get_au_TitledFirstNameJ,custom,[Recipient.Custom('Get_au_TitledFirstNameJ')],Faerun/Faerun/localisation/MonksAndMystics.csv:911
[interrupting_child.GetSheHe],9,interrupting_child,GetSheHe,named_scope,[interrupting_child.GetSheHe],Faerun/Faerun/localisation/MonksAndMystics.csv:1227
[rumor_councillor.GetSheHe],9,rumor_councillor,GetSheHe,named_scope,[rumor_councillor.GetSheHe],Faerun/Faerun/localisation/MonksAndMystics.csv:1350
[Root.GetTrueReligionAdherent],9,Root,GetTrueReligionAdherent,custom,[ROOT.Char.Custom('GetTrueReligionAdherent')],Faerun/Faerun/localisation/MonksAndMystics.csv:1602
[Root.GetHouseOfWorshipiminder],9,Root,GetHouseOfWorshipiminder,custom,[ROOT.Char.Custom('GetHouseOfWorshipiminder')],Faerun/Faerun/localisation/MonksAndMystics.csv:1645
[Root.job_spiritual.GetTitledName],9,Root.job_spiritual,GetTitledName,unmapped,<!CK2:Root.job_spiritual.GetTitledName!>,Faerun/Faerun/localisation/MonksAndMystics.csv:1680
[From.GetMasterMistress],9,From,GetMasterMistress,mapped,[ck2_from.Custom('MistressMaster')],Faerun/Faerun/localisation/MonksAndMystics.csv:2318
[looter.GetHerHisCap],9,looter,GetHerHisCap,named_scope,[looter.GetHerHis|U],Faerun/Faerun/localisation/MonksAndMystics.csv:2602
[looter.Getdemder],9,looter,Getdemder,custom,[looter.Custom('Getdemder')],Faerun/Faerun/localisation/MonksAndMystics.csv:2602
[monastic_friend.GetTitledFirstName],9,monastic_friend,GetTitledFirstName,named_scope,[monastic_friend.GetTitledFirstName],Faerun/Faerun/localisation/MonksAndMystics.csv:2639
[monastic_artifact_lover.GetTitledFirstName],9,monastic_artifact_lover,GetTitledFirstName,named_scope,[monastic_artifact_lover.GetTitledFirstName],Faerun/Faerun/localisation/MonksAndMystics.csv:2699
[ruin_site.Holder.TopLiege.PrimaryTitle.GetName],9,ruin_site.Holder.TopLiege.PrimaryTitle,GetName,named_scope,[ruin_site.GetHolder.GetTopLiege.GetPrimaryTitle.GetName],Faerun/Faerun/localisation/MonksAndMystics.csv:3210
[concerned_friend.GetTitledName],9,concerned_friend,GetTitledName,named_scope,[concerned_friend.GetTitledFirstName],Faerun/Faerun/localisation/MonksAndMystics.csv:4584
[Root.RelHead.GetTitledFirstName],9,Root.RelHead,GetTitledFirstName,mapped,[ROOT.Char.GetFaith.GetReligiousHead.GetTitledFirstName],Faerun/Faerun/localisation/ReapersDue.csv:222
[bg_likely_witch.GetXA],9,bg_likely_witch,GetXA,custom,[bg_likely_witch.Custom('GetXA')],Faerun/Faerun/localisation/ReapersDue.csv:1322
[gbc_lover.GetRleRla],9,gbc_lover,GetRleRla,custom,[gbc_lover.Custom('GetRleRla')],Faerun/Faerun/localisation/ReapersDue.csv:1551
[gbc_rival.GetFirstName],9,gbc_rival,GetFirstName,named_scope,[gbc_rival.GetFirstName],Faerun/Faerun/localisation/ReapersDue.csv:1577
[captured_sneaker.GetHerHis],9,captured_sneaker,GetHerHis,named_scope,[captured_sneaker.GetHerHis],Faerun/Faerun/localisation/ReapersDue.csv:1898
[GBC_new_friend.GetTitledFirstName],9,GBC_new_friend,GetTitledFirstName,named_scope,[GBC_new_friend.GetTitledFirstName],Faerun/Faerun/localisation/ReapersDue.csv:2068
[GBC_new_friend.GetOA],9,GBC_new_friend,GetOA,custom,[GBC_new_friend.Custom('GetOA')],Faerun/Faerun/localisation/ReapersDue.csv:2075
[rip_dead.GetOnA],9,rip_dead,GetOnA,custom,[rip_dead.Custom('GetOnA')],Faerun/Faerun/localisation/ReapersDue.csv:2296
[cat_hater.GetTitledFirstName],9,cat_hater,GetTitledFirstName,named_scope,[cat_hater.GetTitledFirstName],Faerun/Faerun/localisation/ReapersDue.csv:2532
[sickly_infant.GetTitledFirstName],9,sickly_infant,GetTitledFirstName,named_scope,[sickly_infant.GetTitledFirstName],Faerun/Faerun/localisation/ReapersDue.csv:2573
[missionary_physician_target.Religion.GetName],9,missionary_physician_target.Religion,GetName,named_scope,[missionary_physician_target.GetFaith.GetName],Faerun/Faerun/localisation/ReapersDue.csv:3171
[Root.GetHerHimOpp],9,Root,GetHerHimOpp,custom_unverified,[ROOT.Char.Custom('GetHerHimOpp')],Faerun/Faerun/localisation/SwordOfIslam.csv:315
[final_boss.GetFirstName],9,final_boss,GetFirstName,named_scope,[final_boss.GetFirstName],Faerun/Faerun/localisation/adventuring_loc.csv:87
[Root.JergalLoc],9,Root,JergalLoc,custom,[ROOT.Char.Custom('JergalLoc')],Faerun/Faerun/localisation/culturesNreligions.csv:8785
[Root.GondLoc],9,Root,GondLoc,custom,[ROOT.Char.Custom('GondLoc')],Faerun/Faerun/localisation/culturesNreligions.csv:9116
[accused_apostate.GetSheHe],9,accused_apostate,GetSheHe,named_scope,[accused_apostate.GetSheHe],Faerun/Faerun/localisation/culturesNreligions.csv:9858
[Root.Liege.GetSubjectPronoun],9,Root.Liege,GetSubjectPronoun,mapped,[ROOT.Char.GetLiege.GetSheHe],Faerun/Faerun/localisation/faerun_decisions.csv:517
[divine_class_candidate.GetBestName],9,divine_class_candidate,GetBestName,named_scope,[divine_class_candidate.GetTitledFirstName],Faerun/Faerun/localisation/faerun_various_events.csv:530
[jailer.GetHerHis],9,jailer,GetHerHis,named_scope,[jailer.GetHerHis],Faerun/Faerun/localisation/olrox_loc.csv:277
[This.Spouse.GetTitledFirstName],9,This.Spouse,GetTitledFirstName,mapped,[THIS.Char.GetPrimarySpouse.GetTitledFirstName],Faerun/Faerun/localisation/text1.csv:3684
[Recipient.GetSubjectPronoun],9,Recipient,GetSubjectPronoun,named_scope,[Recipient.GetSheHe],Faerun/Faerun/localisation/text1.csv:3912
[ThirdPartyCharacter.GetPossPronoun],9,ThirdPartyCharacter,GetPossPronoun,named_scope,[ThirdPartyCharacter.GetHerHis],Faerun/Faerun/localisation/text1.csv:4167
[Root.Regent.GetTitledFirstName],9,Root.Regent,GetTitledFirstName,unmapped,<!CK2:Root.Regent.GetTitledFirstName!>,Faerun/Faerun/localisation/text8.csv:146
[target_captive.GetObjectPronoun],9,target_captive,GetObjectPronoun,named_scope,[target_captive.GetHerHim],Faerun/Faerun/localisation/v2_30b.csv:224
[target_unlanded_friend.GetFirstName],9,target_unlanded_friend,GetFirstName,named_scope,[target_unlanded_friend.GetFirstName],Faerun/Faerun/localisation/v2_52.csv:47
[introduced_heir.GetSheHeCap],9,introduced_heir,GetSheHeCap,named_scope,[introduced_heir.GetSheHe|U],Faerun/Faerun/localisation/v2_52.csv:220
[This.Religion.GetPietyName],8,This.Religion,GetPietyName,custom_unverified,[THIS.Char.GetFaith.Custom('GetPietyName')],Faerun/Faerun/localisation/000_casus_belli_changes.csv:17
[chinese_silk_road_target.GetName],8,chinese_silk_road_target,GetName,named_scope,[chinese_silk_road_target.GetName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:172
[recruited_physician_target.GetElEllaCap],8,recruited_physician_target,GetElEllaCap,custom,[recruited_physician_target.Custom('GetElEllaCap')],Faerun/Faerun/localisation/000_generalvanillaloc.csv:172
[arab_scholar_trade_post_target.GetName],8,arab_scholar_trade_post_target,GetName,named_scope,[arab_scholar_trade_post_target.GetName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:174
[book_province_realm.GetFullBaseName],8,book_province_realm,GetFullBaseName,named_scope,[book_province_realm.GetBaseName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:224
[possible_emissary1.GetFirstName],8,possible_emissary1,GetFirstName,named_scope,[possible_emissary1.GetFirstName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:226
[possible_emissary2.GetFirstName],8,possible_emissary2,GetFirstName,named_scope,[possible_emissary2.GetFirstName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:228
[FromFrom.Mother.GetFirstName],8,FromFrom.Mother,GetFirstName,mapped,[ck2_fromfrom.GetMother.GetFirstName],Faerun/Faerun/localisation/000_generalvanillaloc.csv:312
[shou_lung_courtier.GetBestName],8,shou_lung_courtier,GetBestName,named_scope,[shou_lung_courtier.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:19
[marriage_child.GetDaughterSon],8,marriage_child,GetDaughterSon,custom,[marriage_child.Custom('GetDaughterSon')],Faerun/Faerun/localisation/000_shou_lung.csv:46
[selling_province.price.GetValue],8,selling_province.price,GetValue,unmapped,<!CK2:selling_province.price.GetValue!>,Faerun/Faerun/localisation/000_shou_lung.csv:49
[Root.GetCouncillorLetterGreeting],8,Root,GetCouncillorLetterGreeting,custom,[ROOT.Char.Custom('GetCouncillorLetterGreeting')],Faerun/Faerun/localisation/000_shou_lung.csv:71
[From.GetCGMission],8,From,GetCGMission,custom,[ck2_from.Custom('GetCGMission')],Faerun/Faerun/localisation/000_shou_lung.csv:71
[From.GetMenWomen],8,From,GetMenWomen,mapped,[ck2_from.GetWomenMen],Faerun/Faerun/localisation/000_shou_lung.csv:111
[shou_lung_doctor.GetDynName],8,shou_lung_doctor,GetDynName,named_scope,[shou_lung_doctor.GetHouse.GetBaseName],Faerun/Faerun/localisation/000_shou_lung.csv:150
[This.GetOnlyDynastyName],8,This,GetOnlyDynastyName,mapped,[THIS.Char.GetHouse.GetBaseName],Faerun/Faerun/localisation/000_shou_lung.csv:156
[From.Offmap.Ruler.GetHerHisCap],8,From.Offmap.Ruler,GetHerHisCap,unmapped,<!CK2:From.Offmap.Ruler.GetHerHisCap!>,Faerun/Faerun/localisation/000_shou_lung.csv:166
[shou_lung_administrator.GetDynName],8,shou_lung_administrator,GetDynName,named_scope,[shou_lung_administrator.GetHouse.GetBaseName],Faerun/Faerun/localisation/000_shou_lung.csv:184
[shou_lung_master_engineer.GetDynName],8,shou_lung_master_engineer,GetDynName,named_scope,[shou_lung_master_engineer.GetHouse.GetBaseName],Faerun/Faerun/localisation/000_shou_lung.csv:206
[shou_lung_strategist.GetDynName],8,shou_lung_strategist,GetDynName,named_scope,[shou_lung_strategist.GetHouse.GetBaseName],Faerun/Faerun/localisation/000_shou_lung.csv:232
[imperial_marriage_spouse_2.GetDynName],8,imperial_marriage_spouse_2,GetDynName,named_scope,[imperial_marriage_spouse_2.GetHouse.GetBaseName],Faerun/Faerun/localisation/000_shou_lung.csv:245
[adventurous_spirit.GetRootRelation],8,adventurous_spirit,GetRootRelation,custom,[adventurous_spirit.Custom('GetRootRelation')],Faerun/Faerun/localisation/000_shou_lung.csv:383
[the_protector_general.GetTitle],8,the_protector_general,GetTitle,named_scope,[the_protector_general.GetTitleAsName],Faerun/Faerun/localisation/000_shou_lung.csv:394
[adventurous_spirit.GetNegativeshou_lungConvoTopic],8,adventurous_spirit,GetNegativeshou_lungConvoTopic,custom,[adventurous_spirit.Custom('GetNegativeshou_lungConvoTopic')],Faerun/Faerun/localisation/000_shou_lung.csv:403
[person_sent_as_tribute.GetFirstName],8,person_sent_as_tribute,GetFirstName,named_scope,[person_sent_as_tribute.GetFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:564
[chosen_captive.GetFirstName],8,chosen_captive,GetFirstName,named_scope,[chosen_captive.GetFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:723
[Root.Getdemder],8,Root,Getdemder,custom,[ROOT.Char.Custom('Getdemder')],Faerun/Faerun/localisation/000_shou_lung.csv:794
[trade_competition_new_city.GetName],8,trade_competition_new_city,GetName,named_scope,[trade_competition_new_city.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:798
[trade_competition_city_winner.GetName],8,trade_competition_city_winner,GetName,named_scope,[trade_competition_city_winner.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:799
[From.Offmap.GetPrevPolicy],8,From.Offmap,GetPrevPolicy,unmapped,<!CK2:From.Offmap.GetPrevPolicy!>,Faerun/Faerun/localisation/000_shou_lung.csv:1056
[Getshou_lungIsolationPastime],8,,Getshou_lungIsolationPastime,custom,[ROOT.Char.Custom('Getshou_lungIsolationPastime')],Faerun/Faerun/localisation/000_shou_lung.csv:1060
[FromFrom.GetPrevPolicy],8,FromFrom,GetPrevPolicy,custom_unverified,[ck2_fromfrom.Custom('GetPrevPolicy')],Faerun/Faerun/localisation/000_shou_lung.csv:1062
[GetRandomshou_lungFaction],8,,GetRandomshou_lungFaction,custom,[ROOT.Char.Custom('GetRandomshou_lungFaction')],Faerun/Faerun/localisation/000_shou_lung.csv:1093
[shou_lung.Ruler.GetDynName],8,shou_lung.Ruler,GetDynName,unmapped,<!CK2:shou_lung.Ruler.GetDynName!>,Faerun/Faerun/localisation/000_shou_lung.csv:1096
[From.Offmap.Ruler.GetMediumshou_lungEmperorName],8,From.Offmap.Ruler,GetMediumshou_lungEmperorName,unmapped,<!CK2:From.Offmap.Ruler.GetMediumshou_lungEmperorName!>,Faerun/Faerun/localisation/000_shou_lung.csv:1206
[shou_lung_invasion_target.GetTitledFirstName],8,shou_lung_invasion_target,GetTitledFirstName,named_scope,[shou_lung_invasion_target.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:1207
[shou_lung_invasion_target.GetTitle],8,shou_lung_invasion_target,GetTitle,named_scope,[shou_lung_invasion_target.GetTitleAsName],Faerun/Faerun/localisation/000_shou_lung.csv:1215
[From.Offmap.Governor.GetTitledFirstName],8,From.Offmap.Governor,GetTitledFirstName,unmapped,<!CK2:From.Offmap.Governor.GetTitledFirstName!>,Faerun/Faerun/localisation/000_shou_lung.csv:1251
[escaped_shou_lung_noble.GetFirstName],8,escaped_shou_lung_noble,GetFirstName,named_scope,[escaped_shou_lung_noble.GetFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:1255
[Getshou_lungLetterBlessing],8,,Getshou_lungLetterBlessing,custom,[ROOT.Char.Custom('Getshou_lungLetterBlessing')],Faerun/Faerun/localisation/000_shou_lung.csv:1309
[shou_lung.Ruler.GetTitledFirstName],8,shou_lung.Ruler,GetTitledFirstName,unmapped,<!CK2:shou_lung.Ruler.GetTitledFirstName!>,Faerun/Faerun/localisation/000_shou_lung.csv:1309
[From.SecretReligion.GetHighGodName],8,From.SecretReligion,GetHighGodName,unmapped,<!CK2:From.SecretReligion.GetHighGodName!>,Faerun/Faerun/localisation/000_shou_lung.csv:1335
[Root.GetEEsse],8,Root,GetEEsse,custom,[ROOT.Char.Custom('GetEEsse')],Faerun/Faerun/localisation/000_shou_lung.csv:1361
[From.GetMOSaint],8,From,GetMOSaint,custom,[ck2_from.Custom('GetMOSaint')],Faerun/Faerun/localisation/000_shou_lung.csv:1366
[shou_lung_invasion_instigator.GetBestName],8,shou_lung_invasion_instigator,GetBestName,named_scope,[shou_lung_invasion_instigator.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:1460
[From.Offmap.GetName],8,From.Offmap,GetName,unmapped,<!CK2:From.Offmap.GetName!>,Faerun/Faerun/localisation/000_shou_lung.csv:1460
[shou_lung_invasion_target.GetBestName],8,shou_lung_invasion_target,GetBestName,named_scope,[shou_lung_invasion_target.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:1578
[the_winner.PrimaryTitle.GetName],8,the_winner.PrimaryTitle,GetName,named_scope,[the_winner.GetPrimaryTitle.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:1582
[the_winner.GetTitledName],8,the_winner,GetTitledName,named_scope,[the_winner.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:1582
[the_loser.GetTitledName],8,the_loser,GetTitledName,named_scope,[the_loser.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:1587
[the_aggressor.GetTitledName],8,the_aggressor,GetTitledName,named_scope,[the_aggressor.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:1592
[the_defender.GetTitledName],8,the_defender,GetTitledName,named_scope,[the_defender.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:1593
[neighbor_province.GetName],8,neighbor_province,GetName,named_scope,[neighbor_province.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:1672
[traveling_teacher.GetFullName],8,traveling_teacher,GetFullName,named_scope,[traveling_teacher.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:2016
[child_to_be_taught.GetDaughterSon],8,child_to_be_taught,GetDaughterSon,custom,[child_to_be_taught.Custom('GetDaughterSon')],Faerun/Faerun/localisation/000_shou_lung.csv:2023
[radhanite_location_barony.GetName],8,radhanite_location_barony,GetName,named_scope,[radhanite_location_barony.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:2036
[target_relative.GetIlElleCap],8,target_relative,GetIlElleCap,custom,[target_relative.Custom('GetIlElleCap')],Faerun/Faerun/localisation/000_shou_lung.csv:2054
[bear.GetRootRelation],8,bear,GetRootRelation,custom,[bear.Custom('GetRootRelation')],Faerun/Faerun/localisation/000_shou_lung.csv:2138
[From.OriginalOwner.GetManWoman],8,From.OriginalOwner,GetManWoman,unmapped,<!CK2:From.OriginalOwner.GetManWoman!>,Faerun/Faerun/localisation/000_shou_lung.csv:2269
[From.OriginalOwner.GetName],8,From.OriginalOwner,GetName,unmapped,<!CK2:From.OriginalOwner.GetName!>,Faerun/Faerun/localisation/000_shou_lung.csv:2287
[other_author.GetTitledFirstName],8,other_author,GetTitledFirstName,named_scope,[other_author.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:2313
[dedication_target.GetHusbandWife],8,dedication_target,GetHusbandWife,named_scope,[dedication_target.GetWifeHusband],Faerun/Faerun/localisation/000_shou_lung.csv:2326
[Root.RelHead.Culture.GetName],8,Root.RelHead.Culture,GetName,mapped,[ROOT.Char.GetFaith.GetReligiousHead.GetCulture.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:2357
[From.OriginalOwner.Religion.GetScriptureName],8,From.OriginalOwner.Religion,GetScriptureName,unmapped,<!CK2:From.OriginalOwner.Religion.GetScriptureName!>,Faerun/Faerun/localisation/000_shou_lung.csv:2427
[other_ruler.GetTitledFirstName],8,other_ruler,GetTitledFirstName,named_scope,[other_ruler.GetTitledFirstName],Faerun/Faerun/localisation/000_shou_lung.csv:2557
[Root.GetMourningBehavior],8,Root,GetMourningBehavior,custom,[ROOT.Char.Custom('GetMourningBehavior')],Faerun/Faerun/localisation/000_shou_lung.csv:2649
[FromFrom.Getihmihr],8,FromFrom,Getihmihr,custom,[ck2_fromfrom.Custom('Getihmihr')],Faerun/Faerun/localisation/000_shou_lung.csv:2669
[Root.Liege.Capital.Capital.GetName],8,Root.Liege.Capital.Capital,GetName,mapped,[ROOT.Char.GetLiege.GetCapitalLocation.GetCapitalLocation.GetName],Faerun/Faerun/localisation/000_shou_lung.csv:2674
[satanists_recruit.Get_le_TitledFirstName],8,satanists_recruit,Get_le_TitledFirstName,custom,[satanists_recruit.Custom('Get_le_TitledFirstName')],Faerun/Faerun/localisation/000_starpact.csv:79
[satanic_reveler.GetRootRelation],8,satanic_reveler,GetRootRelation,custom,[satanic_reveler.Custom('GetRootRelation')],Faerun/Faerun/localisation/000_starpact.csv:171
[Root.GetDWDrug],8,Root,GetDWDrug,custom,[ROOT.Char.Custom('GetDWDrug')],Faerun/Faerun/localisation/000_starpact.csv:181
[dw_buddy.GetBestNameWithoutRegnalNumber],8,dw_buddy,GetBestNameWithoutRegnalNumber,custom_unverified,[dw_buddy.Custom('GetBestNameWithoutRegnalNumber')],Faerun/Faerun/localisation/000_starpact.csv:188
[dw_buddy.GetSisterBrother],8,dw_buddy,GetSisterBrother,custom,[dw_buddy.Custom('GetSisterBrother')],Faerun/Faerun/localisation/000_starpact.csv:188
[outside_spouse.GetFirstName],8,outside_spouse,GetFirstName,named_scope,[outside_spouse.GetFirstName],Faerun/Faerun/localisation/00_base_married_life_events.csv:22
[annoying_courtier.GetHerHim],8,annoying_courtier,GetHerHim,named_scope,[annoying_courtier.GetHerHim],Faerun/Faerun/localisation/00_base_married_life_events.csv:30
[my_spouse.GetIlElle],8,my_spouse,GetIlElle,custom,[my_spouse.Custom('GetIlElle')],Faerun/Faerun/localisation/00_base_married_life_events.csv:38
[Root.job_treasurer.GetFullName],8,Root.job_treasurer,GetFullName,unmapped,<!CK2:Root.job_treasurer.GetFullName!>,Faerun/Faerun/localisation/00_base_married_life_events.csv:47
[Root.Spouse.GetSheHeCap],8,Root.Spouse,GetSheHeCap,mapped,[ROOT.Char.GetPrimarySpouse.GetSheHe|U],Faerun/Faerun/localisation/00_base_married_life_events.csv:199
[Root.Spouse.Get_E],8,Root.Spouse,Get_E,custom,[ROOT.Char.GetPrimarySpouse.Custom('Get_E')],Faerun/Faerun/localisation/00_base_married_life_events.csv:224
[From.PlotTarget.Location.GetName],8,From.PlotTarget.Location,GetName,unmapped,<!CK2:From.PlotTarget.Location.GetName!>,Faerun/Faerun/localisation/00_base_plot_events.csv:38
[Root.Regent.Get_le_TitledName],8,Root.Regent,Get_le_TitledName,unmapped,<!CK2:Root.Regent.Get_le_TitledName!>,Faerun/Faerun/localisation/00_base_plot_events.csv:396
[new_title_holder.GetTitle],8,new_title_holder,GetTitle,named_scope,[new_title_holder.GetTitleAsName],Faerun/Faerun/localisation/00_base_plot_events.csv:503
[new_title_holder.GetTitledName],8,new_title_holder,GetTitledName,named_scope,[new_title_holder.GetTitledFirstName],Faerun/Faerun/localisation/00_base_plot_events.csv:503
[Root.PlotTargetTitle.GetFullName],8,Root.PlotTargetTitle,GetFullName,unmapped,<!CK2:Root.PlotTargetTitle.GetFullName!>,Faerun/Faerun/localisation/00_base_plot_events.csv:576
[Root.PlotTargetTitle.GetFullBaseName],8,Root.PlotTargetTitle,GetFullBaseName,unmapped,<!CK2:Root.PlotTargetTitle.GetFullBaseName!>,Faerun/Faerun/localisation/00_base_plot_events.csv:602
[Root.GetElElla],8,Root,GetElElla,custom,[ROOT.Char.Custom('GetElElla')],Faerun/Faerun/localisation/00_casus_belli.csv:91
[Root.GetOppositeManWoman],8,Root,GetOppositeManWoman,custom,[ROOT.Char.Custom('GetOppositeManWoman')],Faerun/Faerun/localisation/00_casus_belli.csv:126
[This.GetBaseName],8,This,GetBaseName,mapped,[THIS.Char.GetBaseName],Faerun/Faerun/localisation/00_casus_belli.csv:245
[Root.Religion.GetCrusadeName],8,Root.Religion,GetCrusadeName,custom_unverified,[ROOT.Char.GetFaith.Custom('GetCrusadeName')],Faerun/Faerun/localisation/00_council_voting.csv:129
[GetHerselfHimself],8,,GetHerselfHimself,mapped,[ROOT.Char.GetHerselfHimself],Faerun/Faerun/localisation/00_death_text.csv:17
[target_character.GetFirstNameWithNick],8,target_character,GetFirstNameWithNick,named_scope,[target_character.GetFirstName],Faerun/Faerun/localisation/00_tooltips.csv:101
[ThirdPartyCharacter.Get_Le_TitledFirstNameJ],8,ThirdPartyCharacter,Get_Le_TitledFirstNameJ,custom,[ThirdPartyCharacter.Custom('Get_Le_TitledFirstNameJ')],Faerun/Faerun/localisation/00_ui.csv:170
[muslim.GetGroupName],8,muslim,GetGroupName,named_scope,[muslim.GetReligion.GetName],Faerun/Faerun/localisation/00_ui.csv:1407
[ActorExtra.GetFirstName],8,ActorExtra,GetFirstName,named_scope,[ActorExtra.GetFirstName],Faerun/Faerun/localisation/00_ui.csv:2096
[RecipientExtra.GetFirstName],8,RecipientExtra,GetFirstName,named_scope,[RecipientExtra.GetFirstName],Faerun/Faerun/localisation/00_ui.csv:2096
[Religion.GetPietyName],8,Religion,GetPietyName,custom_unverified,[Religion.Custom('GetPietyName')],Faerun/Faerun/localisation/00_ui.csv:3549
[Root.PrimaryTitle.GetTier],8,Root.PrimaryTitle,GetTier,mapped,[ROOT.Char.GetPrimaryTitle.GetTier],Faerun/Faerun/localisation/00_ui.csv:3813
[Root.GetCurrency],8,Root,GetCurrency,custom_unverified,[ROOT.Char.Custom('GetCurrency')],Faerun/Faerun/localisation/00_ui.csv:3885
[FromFrom.GetCurrentStageNumber],8,FromFrom,GetCurrentStageNumber,custom_unverified,[ck2_fromfrom.Custom('GetCurrentStageNumber')],Faerun/Faerun/localisation/00_ui.csv:5999
[From.GetEstimatedFinishDate],8,From,GetEstimatedFinishDate,custom_unverified,[ck2_from.Custom('GetEstimatedFinishDate')],Faerun/Faerun/localisation/00_ui.csv:6062
[From.Liege.Get_le_TitledFirstName],8,From.Liege,Get_le_TitledFirstName,custom,[ck2_from.GetLiege.Custom('Get_le_TitledFirstName')],Faerun/Faerun/localisation/01_soi_muslim_honorary_titles_events.csv:23
[Root.Liege.GetIlElle],8,Root.Liege,GetIlElle,custom,[ROOT.Char.GetLiege.Custom('GetIlElle')],Faerun/Faerun/localisation/05_oldgods_mongol_events.csv:9
