ck2_key,count,sources,samples
tolerates_humanoid_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_humanoid_group=yes
tolerates_karaturan_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_karaturan_group=yes
tolerates_qismaite_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_qismaite_group=yes
tolerates_unenlightened_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_unenlightened_group=yes
tolerates_wild_human_pantheon_group,2,trait:02_traits.txt,sympathy_many=yes;sympathy_wild_human_pantheon_group=yes
zoroastrian_opinion,2,trait:02_traits.txt,saoshyant=10;saoshyant_descendant=5
aberration_culture_group_opinion,1,trait:race_traits.txt,creature_gith=-30
actual_light_infantry,1,command_modifier:02_traits.txt,command_modifier=0.2
adama_opinion,1,trait:02_traits.txt,pagan_branch_1=10
ambition_opinion,1,trait:00_traits.txt,ambitious=-25
arcane_opinion,1,trait:misc_traits.txt,spellscar=-5
army_reinforce_rate,1,trait:god_patron_traits.txt,patron_cirotralech=0.05
assassinate_chance_modifier,1,trait:religious_traits.txt,chosen_cyric=1.15
avariel_opinion,1,trait:02_traits.txt,grounded=-15
bahamut_opinion,1,trait:religious_traits.txt,chosen_bahamut=20
calishite_group_opinion,1,trait:race_traits.txt,creature_genie=-10
christian_opinion,1,trait:02_traits.txt,baptized_by_patriarch=5
creature_elf_opinion,1,trait:race_traits.txt,creature_half_orc=-3
creature_human_opinion,1,trait:race_traits.txt,creature_half_orc=-3
creature_orc_opinion,1,trait:race_traits.txt,creature_half_orc=-5
eilistraee_opinion,1,trait:religious_traits.txt,chosen_eilistraee=20
elven_pantheon_opinion,1,trait:religious_traits.txt,chosen_seldarine=20
enlil_opinion,1,trait:religious_traits.txt,chosen_enlil=20
entropy_opinion,1,trait:god_patron_traits.txt,patron_tyr=-30
evil_human_pantheon_group_opinion,1,trait:race_traits.txt,greater_celestial=-50
faceless_god_opinion,1,trait:religious_traits.txt,chosen_faceless_god=10
goblinoid_group_opinion,1,trait:race_traits.txt,creature_gnome=-10
interloper_opinion,1,trait:race_traits.txt,creature_outsider=5
karaturan_group_opinion,1,trait:02_traits.txt,pagan_branch_1=10
kobold_opinion,1,trait:race_traits.txt,creature_dragon=10
kossuth_opinion,1,trait:religious_traits.txt,chosen_kossuth=20
land_organisation,1,trait:god_patron_traits.txt,patron_the_drummer=0.05
lolth_cult_opinion,1,trait:race_traits.txt,creature_draegloth=50
mercantile_opinion,1,trait:religious_traits.txt,chosen_helm=10
monthly_character_wealth,1,trait:02_traits.txt,kow_tow_travels=-0.2
northlander_opinion,1,trait:02_traits.txt,shieldmaiden=5
opinion_of_faceless_god,1,trait:religious_traits.txt,chosen_faceless_god=10
opinion_of_patron_auril,1,trait:religious_traits.txt,chosen_auril=20
opinion_of_patron_bahamut,1,trait:religious_traits.txt,chosen_bahamut=20
opinion_of_patron_bane,1,trait:religious_traits.txt,chosen_bane=20
opinion_of_patron_bhaal,1,trait:religious_traits.txt,chosen_bhaal=20
opinion_of_patron_deneir,1,trait:religious_traits.txt,chosen_deneir=20
opinion_of_patron_gilgeam,1,trait:religious_traits.txt,chosen_gilgeam=20
opinion_of_patron_gruumsh,1,trait:religious_traits.txt,chosen_gruumsh=20
opinion_of_patron_helm,1,trait:religious_traits.txt,chosen_helm=10
opinion_of_patron_kossuth,1,trait:religious_traits.txt,chosen_kossuth=20
opinion_of_patron_malar,1,trait:religious_traits.txt,chosen_malar=20
opinion_of_patron_mask,1,trait:religious_traits.txt,chosen_mask=20
opinion_of_patron_mielikki,1,trait:religious_traits.txt,chosen_mielikki=20
opinion_of_patron_myrkul,1,trait:religious_traits.txt,chosen_myrkul=20
opinion_of_patron_mystra,1,trait:religious_traits.txt,chosen_mystra=20
opinion_of_patron_shar,1,trait:religious_traits.txt,chosen_shar=20
opinion_of_patron_siamorphe,1,trait:religious_traits.txt,chosen_siamorphe=20
opinion_of_patron_sseth,1,trait:religious_traits.txt,chosen_sseth=20
opinion_of_patron_sune,1,trait:religious_traits.txt,chosen_sune=20
opinion_of_patron_talona,1,trait:religious_traits.txt,chosen_talona=20
opinion_of_patron_tiamat,1,trait:religious_traits.txt,chosen_tiamat=20
opinion_of_patron_umberlee,1,trait:religious_traits.txt,chosen_umberlee=20
orc_pantheon_opinion,1,trait:religious_traits.txt,chosen_gruumsh=10
orc_reformed_opinion,1,trait:religious_traits.txt,chosen_gruumsh=10
pagan_group_opinion,1,trait:03_traits.txt,kailash_guardian=5
patron_abbathor_opinion,1,trait:god_patron_traits.txt,patron_bane=5
patron_amaunator_opinion,1,trait:god_patron_traits.txt,patron_siamorphe=5
patron_auril_opinion,1,trait:religious_traits.txt,chosen_auril=20
patron_azuth_opinion,1,trait:god_patron_traits.txt,patron_mystra=5
patron_bahamut_opinion,1,trait:religious_traits.txt,chosen_bahamut=20
patron_bhaal_opinion,1,trait:religious_traits.txt,chosen_bhaal=20
patron_chauntea_opinion,1,trait:god_patron_traits.txt,patron_yondalla=5
patron_fzoul_chembryl_opinion,1,trait:god_patron_traits.txt,patron_bane=5
patron_garagos_opinion,1,trait:god_patron_traits.txt,patron_tempus=5
patron_gilgeam_opinion,1,trait:religious_traits.txt,chosen_gilgeam=20
patron_gond_opinion,1,trait:god_patron_traits.txt,patron_oghma=5
patron_gruumsh_opinion,1,trait:religious_traits.txt,chosen_gruumsh=20
patron_helm_opinion,1,trait:religious_traits.txt,chosen_helm=10
patron_hoar_opinion,1,trait:god_patron_traits.txt,patron_bane=5
patron_iyachtu_xvim_opinion,1,trait:god_patron_traits.txt,patron_bane=5
patron_jergal_opinion,1,trait:god_patron_traits.txt,patron_kelemvor=5
patron_kelemvor_opinion,1,trait:god_patron_traits.txt,patron_jergal=5
patron_kossuth_opinion,1,trait:religious_traits.txt,chosen_kossuth=20
patron_lliira_opinion,1,trait:god_patron_traits.txt,patron_sune=5
patron_mask_opinion,1,trait:religious_traits.txt,chosen_mask=20
patron_mielikki_opinion,1,trait:religious_traits.txt,chosen_mielikki=20
patron_milil_opinion,1,trait:god_patron_traits.txt,patron_oghma=5
patron_red_knight_opinion,1,trait:god_patron_traits.txt,patron_tempus=5
patron_sebek_opinion,1,trait:template_traits.txt,werecrocodile=25
patron_shar_opinion,1,trait:religious_traits.txt,chosen_shar=20
patron_sharess_opinion,1,trait:god_patron_traits.txt,patron_sune=5
patron_silvanus_opinion,1,trait:god_patron_traits.txt,patron_malar=5
patron_sseth_opinion,1,trait:religious_traits.txt,chosen_sseth=20
patron_talona_opinion,1,trait:religious_traits.txt,chosen_talona=20
patron_tiamat_opinion,1,trait:religious_traits.txt,chosen_tiamat=20
patron_tyr_opinion,1,trait:god_patron_traits.txt,patron_vandria_gilmadrith=5
patron_umberlee_opinion,1,trait:religious_traits.txt,chosen_umberlee=20
patron_valkur_opinion,1,trait:god_patron_traits.txt,patron_tempus=5
patron_vandria_gilmadrith_opinion,1,trait:god_patron_traits.txt,patron_tyr=5
patron_vlaakith_opinion,1,trait:god_patron_traits.txt,patron_zaerith=-20
patron_yondalla_opinion,1,trait:god_patron_traits.txt,patron_chauntea=5
patron_zaerith_opinion,1,trait:god_patron_traits.txt,patron_vlaakith=-20
planar_opinion,1,trait:race_traits.txt,creature_outsider=5
qismaite_group_opinion,1,trait:02_traits.txt,pagan_branch_1=10
rel_head_opinion,1,trait:religious_traits.txt,ethoist=5
religion_flex,1,trait:god_patron_traits.txt,patron_untamo=-0.05
scouting,1,building:00_tradepost.txt,tr_enclave_3=yes
sylvan_opinion,1,trait:template_traits.txt,feytouched=10
text_effect_wiz_conjuration,1,trait:template_traits.txt,wiz_conjuration=1
text_effect_wiz_enchantment,1,trait:template_traits.txt,wiz_enchantment=1
text_effect_wiz_illusion,1,trait:template_traits.txt,wiz_illusion=1
text_effect_wiz_necromancy,1,trait:template_traits.txt,wiz_necromancy=1
thasmudyan_opinion,1,trait:religious_traits.txt,chosen_thasmudyan=20
tiamat_opinion,1,trait:religious_traits.txt,chosen_tiamat=20
tolerates_drow_pantheon,1,trait:02_traits.txt,sympathy_drow_pantheon=yes
tolerates_evil_human_pantheon_group,1,trait:02_traits.txt,sympathy_evil_human_pantheon_group=yes
trait_effect_capture_commanders,1,trait:02_traits.txt,norse_leader=1
triadic_opinion,1,trait:religious_traits.txt,chosen_helm=10
turm_opinion,1,trait:religious_traits.txt,chosen_helm=10
twin_opinion,1,trait:00_traits.txt,twin=15
ubtao_worship_opinion,1,trait:religious_traits.txt,chosen_ubtao=20
undead_troops,1,command_modifier:template_traits.txt,command_modifier=0.2
uthgardt_faith_opinion,1,trait:god_patron_traits.txt,patron_tyr=-30
war_elephants,1,command_modifier:02_traits.txt,command_modifier=0.2
wonder_build_cost_modifier,1,trait:02_traits.txt,architect=-0.03
wonder_build_time_modifier,1,trait:02_traits.txt,architect=-0.05
zakharan_group_opinion,1,trait:race_traits.txt,creature_genie=10
